Country	Skip	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
Canada	Kevin Martin	49	37	10	14	87
Scotland	David Murdoch	46	38	20	10	85
China	Wang Fengchun	43	43	18	9	81
Norway	Thomas Ulsrud	52	47	10	11	84
France	Thomas Dufour	42	35	18	11	78
Australia	Hugh Millikin	42	45	20	8	78
United States	Craig Brown	40	44	13	6	81
Germany	Andy Kapp	47	43	17	14	80
Denmark	Johnny Frederiksen	45	50	6	11	78
Sweden	Anders Kraupp	38	49	17	4	79
Switzerland	Claudio Pescia	42	49	15	7	78
Czech Republic	Jiří Snítil	43	48	10	7	75
