Season	Team 1	Score	Team 2	Venue
2002-03	BEC Tero Sasana	2-2	Kashima Antlers	Suphachalasai Stadium , Thailand
2002-03	BEC Tero Sasana	2-0	Daejeon Citizen	Suphachalasai Stadium , Thailand
2002-03	BEC Tero Sasana	2-1	Shanghai Shenhua	Suphachalasai Stadium , Thailand
2002-03	BEC Tero Sasana	3-1	FC Pakhtakor Tashkent	Suphachalasai Stadium , Thailand
2002-03	FC Pakhtakor Tashkent	1-0	BEC Tero Sasana	Pakhtakor Stadium , Uzbekistan
2002-03	Al-Ain	2-0	BEC Tero Sasana	Tahnoun Bin Mohamed Stadium , UAE
2002-03	BEC Tero Sasana	1-0	Al-Ain	Rajamangala Stadium , Thailand
2004	Jeonbuk Hyundai Motors	4-0	BEC Tero Sasana	Jeonju World Cup Stadium , South Korea
2004	Jubilo Iwata	3-0	BEC Tero Sasana	Yamaha Stadium , Japan
2004	BEC Tero Sasana	4-1	Shanghai Shenhua	Thai-Japanese Stadium , Thailand
2004	BEC Tero Sasana	0-4	Jeonbuk Hyundai Motors	Suphachalasai Stadium , Thailand
2004	Shanghai Shenhua	1-0	BEC Tero Sasana	Shanghai Stadium , China PR
2004	BEC Tero Sasana	2-3	Jubilo Iwata	Thai-Japanese Stadium , Thailand
2005	BEC Tero Sasana	0-1	Shandong Luneng	N/A
2005	BEC Tero Sasana	1-2	Yokohama F. Marinos	N/A
2005	BEC Tero Sasana	0-1	PSM Makassar	N/A
2005	BEC Tero Sasana	0-4	Shandong Luneng	N/A
2005	BEC Tero Sasana	0-2	Yokohama F. Marinos	N/A
2005	BEC Tero Sasana	2-2	PSM Makassar	N/A
