Team	Outgoing manager	Manner of departure	Date of vacancy	Position in table	Replaced by	Date of appointment
Haladás	László Dajka	Sacked	17 September 1998	16th	István Mihalecz	17 September 1998
Videoton	Ferenc Csongrádi	Mutual agreement	16 October 1998	14th	József Verebes	16 October 1998
Debrecen	András Herczeg	Sacked	20 October 1998	13th	Lajos Garamvölgyi	20 October 1998
Ferencváros	Tibor Nyilasi	Mutual agreement	17 December 1998	7th	Marijan Vlak	29 December 1998
III. Kerület	Ralf Wilhelms	Mutual agreement	18 December 1998	16th	Lajos Schróth	12 February 1999
BVSC	István Sándor	Sacked	22 December 1998	18th	Dragan Seklulić	3 January 1999
Diósgyőr	Barnabás Tornyi	Resigned	5 January 1999	3rd	Gábor Szapor	7 January 1999
BVSC	Dragan Seklulić	Sacked	10 February 1999	18th	József Tajti	10 February 1999
Diósgyőr	Gábor Szapor	Sacked	14 April 1999	7rd[ clarification needed ]	Miklós Temesvári	14 April 1999
Siófok	László Nagy	Resigned	4 May 1999	16th	József Mészáros	4 May 1999
Dunaújváros	Zoltán Varga	Resigned	12 May 1999	6th	Ferenc Ebedli	12 May 1999
