Swedish title	Norwegian title	Translated title	Published	Pages	ISBN
I skuggan av ett tecken	I skyggen av et tegn	In the Shadow of a Sign	2000	252	ISBN 978-91-7713-000-0
Dit ingen går	Dit ingen går	Where No One Goes	2000	250	ISBN 978-91-7713-001-7
Vindens klagan	Vindens klage	The Wind's Lament	2001	252	ISBN 978-91-7713-002-4
Trollkarlens märke	Trollmannens merke	The Sign of Sorcerer	2002	253	ISBN 978-91-7713-003-1
Skuggor	Skygger	Shadows	2002	251	ISBN 978-91-7713-004-8
Tistel bland rosor	Tistel blant roser	Thistle Among Roses	2002	250	ISBN 978-91-7713-005-5
Amuletterna	Amulettene	The Charms	2002	251	ISBN 978-91-7713-006-2
Järnjungfrun	Jernjomfruen	The Iron Maiden	2003	243	ISBN 978-91-7713-007-9
Demonens vingar	Demonens vinger	The Demon's Wings	2003	256	ISBN 978-91-7713-008-6
De okända	Det ukjente	The Unknown	2003	254	ISBN 978-91-7713-009-3
Stenarnas tystnad	Steinenes stillhet	Silence of the Stones	2003	250	ISBN 978-91-7713-024-6
Vinterdröm	Vinterdrøm	Winter Dream	2003	249	ISBN 978-91-7713-025-3
