Year	Track	50 cc	125 cc	Report
1983	Rijeka	Stefan Dörflinger	Bruno Kneubühler	Report
1982	Rijeka	Eugenio Lazzarini	Eugenio Lazzarini	Report
1981	Rijeka	Ricardo Tormo	Loris Reggiani	Report
1980	Rijeka	Ricardo Tormo	Guy Bertin	Report
1979	Rijeka	Eugenio Lazzarini	Angel Nieto	Report
1978	Rijeka	Ricardo Tormo	Angel Nieto	Report
1977	Opatija	Angel Nieto	Pier Paolo Bianchi	Report
1976	Opatija	Ulrich Graf	Pier Paolo Bianchi	Report
1975	Opatija	Angel Nieto	Dieter Braun	Report
1974	Opatija	Henk van Kessel	Kent Andersson	Report
1973	Opatija	Jan de Vries	Kent Andersson	Report
1972	Opatija	Jan Bruins	Kent Andersson	Report
1970	Opatija	Angel Nieto	Dieter Braun	Report
1969	Opatija	Paul Lodewijkx	Dieter Braun	Report
