Region	Population	% of countrys population	Change in population since 1993	Change in % of countrys population since 1993
Amazonas	389700	1.5	52279	0.0
Ancash	1039415	4.0	-153527	-1.4
Apurimac	418882	1.6	-131964	-0.9
Arequipa	1140810	4.4	294630	0.6
Ayacucho	619338	2.4	-147624	-1.1
Cajamarca	1359023	5.2	-293050	-2.3
Callao	810568	3.1	392307	1.2
Cusco	1171503	4.5	23790	-0.7
Huancavelica	447054	1.7	-133838	0.9
Huanuco	730871	2.8	1318	-0.5
Ica	665592	2.5	70357	-0.2
Junin	1091619	4.2	-93682	-1.8
La Libertad	1539774	5.9	219544	-0.1
Lambayeque	1091535	4.2	175567	0.0
Lima Region	864853	3.3	3388526	9.8
Lima Province	6954583	26.6	3388526	9.8
Loreto	884144	3.4	141427	0.0
Madre de Dios	92024	0.4	46369	0.2
Moquegua	159306	0.6	45078	0.1
Pasco	266764	1.0	-32985	-0.4
Piura	1630772	6.2	62381	-0.9
Puno	1245508	4.8	-83966	-1.2
San Martin	669973	2.6	195949	0.5
Tacna	274496	1.0	124658	0.3
Tumbes	191713	0.7	54975	0.1
Ucayali	402445	1.5	161500	0.4
