Name	Championship	League Cup	FA Cup	Total
Aron Gunnarsson Category:Articles with hCards	9	1	2	12
Daniel Fox Category:Articles with hCards	8	1	0	9
Guillaume Beuzelin Category:Articles with hCards	7	0	2	9
Scott Dann Category:Articles with hCards	8	0	0	8
Clinton Morrison Category:Articles with hCards	8	0	0	8
Stephen Wright Category:Articles with hCards	6	1	0	7
Isaac Osbourne Category:Articles with hCards	6	0	0	6
Jay Tabb Category:Articles with hCards	4	0	0	4
Freddy Eastwood Category:Articles with hCards	3	0	1	4
Keiren Westwood Category:Articles with hCards	3	0	1	4
Michael Doyle Category:Articles with hCards	4	0	0	4
Elliott Ward Category:Articles with hCards	3	0	1	4
Leon McKenzie Category:Articles with hCards	3	0	0	3
Robbie Simpson Category:Articles with hCards	3	0	0	3
Leon Best Category:Articles with hCards	2	0	0	2
Jordan Henderson Category:Articles with hCards	2	0	0	2
Marcus Hall Category:Articles with hCards	1	1	0	2
Ben Turner Category:Articles with hCards	2	0	0	2
Michael Mifsud Category:Articles with hCards	1	0	0	1
James McPake Category:Articles with hCards	1	0	0	1
