Rider	Manufacturer	Laps	Time	Grid
Marco Simoncelli	Gilera	21	40:19.910	3
Alex Debon	Aprilia	21	+0.499	7
Thomas Luthi	Aprilia	21	+0.712	8
Mika Kallio	KTM	21	+7.403	4
Mattia Pasini	Aprilia	21	+12.542	9
Roberto Locatelli	Gilera	21	+12.790	18
Karel Abraham	Aprilia	21	+16.114	16
Hiroshi Aoyama	KTM	21	+17.316	10
Aleix Espargaro	Aprilia	21	+19.642	14
Ratthapark Wilairot	Honda	21	+19.704	17
Julián Simón	KTM	21	+19.751	13
Alex Baldolini	Aprilia	21	+47.360	21
Eugene Laverty	Aprilia	21	+47.422	20
Fabrizio Lai	Gilera	21	+1:13.423	15
Imre Toth	Aprilia	21	+1:25.891	19
Russel Gomez	Aprilia	21	+1:36.557	22
Doni Tata Pradita	Yamaha	21	+1:48.224	23
Héctor Barberá	Aprilia	19	Accident	1
Yuki Takahashi	Honda	17	Accident	11
Lukas Pesek	Aprilia	9	Accident	5
Héctor Faubel	Aprilia	9	Accident	12
Manuel Poggiali	Gilera	9	Accident	6
Alvaro Bautista	Aprilia	6	Accident	2
