Rider	Bike	Laps	Time	Grid
Fabien Foret	Yamaha YZF-R6	16	29:38.261	3
Josh Brookes	Honda CBR600RR	16	+1.199	2
Broc Parkes	Yamaha YZF-R6	16	+6.736	1
Andrew Pitt	Honda CBR600RR	16	+11.398	7
Robbin Harms	Honda CBR600RR	16	+11.477	8
Craig Jones	Honda CBR600RR	16	+11.716	12
Massimo Roccoli	Yamaha YZF-R6	16	+11.757	4
Matthieu Lagrive	Honda CBR600RR	16	+12.186	9
Joan Lascorz	Honda CBR600RR	16	+14.847	16
Ángel Rodríguez	Yamaha YZF-R6	16	+15.175	14
Mark Aitchison	Triumph 675	16	+21.256	10
Cristiano Migliorati	Kawasaki ZX-6R	16	+24.899	17
Gianluca Nannelli	Honda CBR600RR	16	+25.077	11
Vesa Kallio	Honda CBR600RR	16	+25.160	18
Katsuaki Fujiwara	Kawasaki ZX-6R	16	+26.429	13
David Salom	Yamaha YZF-R6	16	+46.152	22
Didier van Keymeulen	Suzuki GSX-R600	16	+46.160	21
Mirko Giansanti	Honda CBR600RR	16	+46.192	28
Danilo dell'Omo	Honda CBR600RR	16	+46.264	24
Kev Coghlan	Honda CBR600RR	16	+46.327	29
Ivan Clementi	Triumph 675	16	+46.509	31
Santiago Barragán	Honda CBR600RR	16	+57.599	30
Grégory Leblanc	Honda CBR600RR	16	+58.057	32
William de Angelis	Honda CBR600RR	16	+58.415	26
Lorenzo Alfonsi	Honda CBR600RR	16	+1:11.614	25
Luka Nedog	Honda CBR600RR	16	+1:19.957	34
Gergõ Talmácsi	Honda CBR600RR	16	+1:19.985	36
Miguel Praia	Honda CBR600RR	13	Retirement	19
Barry Veneman	Suzuki GSX-R600	7	Accident	15
Gianluca Vizziello	Honda CBR600RR	7	Retirement	6
Chris Walker	Kawasaki ZX-6R	4	Retirement	20
Simone Sanna	Honda CBR600RR	3	Retirement	33
Jonathan Rea	Honda CBR600RR	2	Retirement	5
Garry McCoy	Triumph 675	2	Retirement	23
Attila Magda	Honda CBR600RR	1	Accident	37
Ruggero Scambia	Triumph 675	0	Accident	35
Graeme Gowland	Honda CBR600RR	0	Accident	27
