City	Country	IATA	ICAO	Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Changsha	China	CSX	ZGHA	Changsha Huanghua International Airport
Chengdu	China	CTU	ZUUU	Chengdu Shuangliu International Airport
Chongqing	China	CKG	ZUCK	Chongqing Jiangbei International Airport
Hangzhou	China	HGH	ZSHC	Hangzhou Xiaoshan International Airport
Hefei	China	HFE	ZSOF	Hefei Luogang International Airport
Kaohsiung	Taiwan	KHH	RCKH	Kaohsiung International Airport
Macau	Macau	MFM	VMMC	Macau International Airport
Nanjing	China	NKG	ZSNJ	Nanjing Lukou International Airport
Nanning	China	NNG	ZGNN	Nanning Wuxu International Airport
Ningbo	China	NGB	ZSNB	Ningbo Lishe International Airport
Osaka	Japan	KIX	RJBB	Kansai International Airport
Seoul	South Korea	ICN	RKSI	Incheon International Airport
Shanghai	China	SHA	ZSSS	Shanghai Hongqiao International Airport
Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport
Shenyang	China	SHE	ZYTX	Shenyang Taoxian International Airport
Shenzhen	China	SZX	ZGSZ	Shenzhen Bao'an International Airport
Singapore	Singapore	SIN	WSSS	Singapore Changi Airport
Taipei	Taiwan	TPE	RCTP	Taiwan Taoyuan International Airport
Taiyuan	China	TYN	ZBYN	Taiyuan Wusu Airport
Tokyo	Japan	NRT	RJAA	Narita International Airport
Xiamen	China	XMN	ZSAM	Xiamen Gaoqi International Airport
Wenzhou	China	WNZ	ZSWZ	Wenzhou Yongqiang International Airport
