#	Episode	Air Date	Timeslot (EST)	Rating	Share	18-49 (Rating/Share)	Viewers (m)	Weekly Rank (#)
1	"A Death in the Family"	October 1, 2009	Thursday 10:00 P.M.	7.6	13	4.6/13	11.58	20
2	"The Way We Were"	October 8, 2009	Thursday 10:00 P.M.	6.2	11	3.6/10	9.50	25
3	"Right Here, Right Now"	October 15, 2009	Thursday 10:00 P.M.	6.8	12	3.8/11	10.36	21
4	"Pushing the Limits"	October 22, 2009	Thursday 10:00 P.M.	6.7	11	3.7/10	9.928	28
5	"Strange Bedfellows"	October 29, 2009	Thursday 10:00 P.M.	6.1	10	3.6/9	9.155	29
6	"Slip Slidin’ Away"	November 5, 2009	Thursday 10:00 P.M.	6.0	10	3.4/10	9.11	27
7	"The Hard Part"	November 12, 2009	Thursday 10:00 P.M.	6.7	11	3.9/11	10.249	TBA
8	"Sins of the Father"	November 19, 2009	Thursday 10:00 P.M.	6.0	10	3.1/9	8.926	TBA
9	"The Parent Trap"	December 3, 2009	Thursday 10:00 P.M.	6.3	10	3.2/8	9.211	24
10	"Blowups"	December 3, 2009	Thursday 10:00 P.M.	6.3	10	3.2/8	9.211	24
11	"Another Second Chance"	January 14, 2010	Thursday 10:00 P.M.	7.1	12	4.2/12	10.963	TBA
12	"Best Laid Plans"	January 21, 2010	Thursday 10:00 P.M.	6.6	11	3.6/10	9.637	TBA
13	"Shotgun"	February 4, 2010	Thursday 10:00 P.M.	6.2	11	3.3/10	9.254	TBA
14	"Love Bites"	February 11, 2010	Thursday 10:00 P.M.	6.1	10	3.1/9	9.036	26
15	"'Til Death Do Us Part"	February 18, 2010	Thursday 10:00 P.M.	5.1	8	2.8/7	7.593	32
16	"Fear of Flying"	March 4, 2010	Thursday 10:00 P.M.	5.2	9	2.7/8	7.572	36
17	"Triangles"	March 11, 2010	Thursday 10:00 P.M.	5.3	9	2.8/8	7.656	TBA
18	"Pulling the Plug"	March 25, 2010	Thursday 10:00 P.M.	5.8	10	2.9/8	8.705	TBA
19	"Eyes Wide Open"	April 1, 2010	Thursday 10:00 P.M.	5.3	9	2.6/8	7.822	TBA
20	"Second Choices"	April 22, 2010	Thursday 9:00 P.M.	5.1	9	2.3/6	7.491	TBA
21	"War"	April 29, 2010	Thursday 10:00 P.M.	5.4	9	2.9/9	7.775	TBA
22	"In the Name of Love"	May 6, 2010	Thursday 10:00 P.M.	5.7	10	2.8/8	8.152	TBA
