Round	Pick	Player	Position	Nationality	Team	College
3	24	Bob Donham Category:Articles with hCards	G/F	United States	Boston Celtics	Ohio State
3	25	Dick Dickey Category:Articles with hCards	G	United States	Baltimore Bullets	NC State
3	28	Alan Sawyer Category:Articles with hCards	F	United States	Washington Capitols	UCLA
3	31	Art Burris Category:Articles with hCards	F	United States	Fort Wayne Pistons	Tennessee
3	32	Chuck Mrazovich Category:Articles with hCards	F	United States	Indianapolis Olympians	Eastern Kentucky
4	40	Tommy O'Keefe Category:Articles with hCards	G	United States	Washington Capitols	Georgetown
4	41	Ken Murray Category:Articles with hCards	G/F	United States	Chicago Stags	St. Bonaventure
4	46	Bud Grant Category:Articles with hCards	F	United States	Minneapolis Lakers	Minnesota
5	49	Norm Mager Category:Articles with hCards	F	United States	Baltimore Bullets	CCNY
5	50	Ike Borsavage Category:Articles with hCards	F/C	United States	Philadelphia Warriors	Temple
5	51	Cal Christensen Category:Articles with hCards	F/C	United States	Tri-Cities Blackhawks	Toledo
5	52	Claude Overton Category:Articles with hCards	G	United States	Washington Capitols	East Central State
5	58	Ed Beach Category:Articles with hCards	F	United States	Minneapolis Lakers	West Virginia
6	60	Francis Mahoney Category:Articles with hCards	F	United States	Boston Celtics	Brown
6	68	Ralph O'Brien Category:Articles with hCards	G	United States	Indianapolis Olympians	Butler
7	80	Leon Blevins Category:Articles with hCards	G	United States	Indianapolis Olympians	Arizona
7	82	Joe Hutton Category:Articles with hCards	G	United States	Minneapolis Lakers	Hamline
8	89	George King Category:Articles with hCards	G	United States	Chicago Stags	Morris Harvey
9	99	Nate DeLong Category:Articles with hCards	C	United States	Tri-Cities Blackhawks	River Falls State
9	100	Earl Lloyd Category:Articles with hCards	F/C	United States	Washington Capitols	West Virginia State
