Year	Champion	Runner-up	Score	City	Venue
1913	(Abandoned) 1	(Abandoned) 1	(Abandoned) 1	(Abandoned) 1	(Abandoned) 1
1916	Nacional	Racing	2-1	Montevideo	n/e
1917	Racing	Nacional	2-2	Montevideo	n/e
1918	Racing	Peñarol	2-1	Buenos Aires	n/e
1919	Nacional	Boca Juniors	3-0	Montevideo	n/e
1920	Nacional	Boca Juniors	2-1	Buenos Aires	n/e
1923	San Lorenzo	Atlético Wanderers	1-0	Buenos Aires	n/e
1927	San Lorenzo	Rampla Juniors	1-0	Montevideo	n/e
1928	Peñarol	Huracán	3-0	Buenos Aires	River Plate
1936	River Plate	Peñarol	5-1	Montevideo	Centenario
1937	River Plate	Peñarol	5-2	Buenos Aires	San Lorenzo
1938	Independiente	Peñarol	3-1	Montevideo	Centenario
1939	Independiente	Nacional	5-0	Buenos Aires	San Lorenzo
1940	Nacional	Boca Juniors	2-2	Montevideo	Centenario
1941	River Plate	Nacional	6-1 1-1	Buenos Aires Montevideo	San Lorenzo Centenario
1942	Nacional	River Plate	4-0	Montevideo	Centenario
1945	River Plate	Peñarol	2-1 3-2	Montevideo Buenos Aires	Centenario San Lorenzo
1946	Nacional	San Lorenzo	2-3 7-2	Buenos Aires Montevideo	Huracán Centenario
1947	River Plate	Nacional	4-3 3-1	Montevideo Buenos Aires	Centenario n/e
1955	River Plate	Nacional	2-1	Montevideo	Centenario
