No	Player	Height (m)	Height (f)	Position	Year born	Current Club
4	Ioannis Kalampokis	1.96	6' 05″	Guard	1978	ALBA Berlin
5	Ioannis Bourousis	2.13	7' 00″	Center	1983	Olimpia Milano
6	Nikolaos Zisis	1.97	6' 06″	Guard	1983	Bilbao Basket
7	Vasileios Spanoulis	1.93	6' 04″	Guard	1982	Olympiacos
8	Nicholas Calathes	1.98	6' 06″	Guard	1989	Lokomotiv Kuban
9	Antonios Fotsis	2.09	6' 10″	Forward	1981	Olimpia Milano
10	Georgios Printezis	2.06	6' 09″	Forward	1985	Olympiacos
11	Andreas Glyniadakis	2.16	7' 01″	Center	1981	Astana
12	Konstantinos Kaimakoglou	2.05	6' 09″	Forward	1983	UNICS Kazan
13	Konstantinos Koufos	2.13	7' 00″	Forward	1989	Denver Nuggets
14	Efstratios Perperoglou	2.03	6' 08″	Forward	1984	Olympiacos
