Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 1	at Jacksonville Jaguars	Alltel Stadium	1:00pm	L 24–9	0–1
2	Sun. Sep. 8	Baltimore Ravens	Three Rivers Stadium	1:00pm	W 31–17	1–1
3	Mon. Sep. 16	Buffalo Bills	Three Rivers Stadium	9:00pm	W 24–6	2–1
4	Sun. Sep. 22	Bye	Bye	Bye	Bye	Bye
5	Sun. Sep. 29	Houston Oilers	Three Rivers Stadium	1:00pm	W 30–16	3–1
6	Mon. Oct. 7	at Kansas City Chiefs	Arrowhead Stadium	9:00pm	W 17–7	4–1
7	Sun. Oct. 13	Cincinnati Bengals	Three Rivers Stadium	1:00pm	W 20–10	5–1
8	Sun. Oct. 20	at Houston Oilers	Astrodome	4:00pm	L 23–13	5–2
9	Sun. Oct. 27	at Atlanta Falcons	Georgia Dome	1:00pm	W 20–17	6–2
10	Sun. Nov. 3	St. Louis Rams	Three Rivers Stadium	1:00pm	W 42–6	7–2
11	Sun. Nov. 10	at Cincinnati Bengals	Cinergy Field	1:00pm	L 34–24	7–3
12	Sun. Nov. 17	Jacksonville Jaguars	Three Rivers Stadium	1:00pm	W 28–3	8–3
13	Mon. Nov. 25	at Miami Dolphins	Pro Player Stadium	9:00pm	W 24–17	9–3
14	Sun. Dec. 1	at Baltimore Ravens	Memorial Stadium	1:00pm	L 31–17	9–4
15	Sun. Dec. 8	San Diego Chargers	Three Rivers Stadium	1:00pm	W 16–3	10–4
16	Sun. Dec. 15	San Francisco 49ers	Three Rivers Stadium	1:00pm	L 25–15	10–5
17	Sun. Dec. 22	at Carolina Panthers	Ericsson Stadium	1:00pm	L 18–14	10–6
