Title	Format	Label	Catalog number	Formats	Year
Grey	Album	Seed Records	SEEDEX01	CD	2000
Auberginetix Ping	Single	Skam Records	SMAK01	12" vinyl	2001
The Uncertainty of the Monkey	Album	Seed Records	SEEDLP/CD01	CD, Double 12" vinyl	2001
Posthuman	EP	Seed Records	SEEDEP02	CD, 12" vinyl	2002
Lagrange Point	Album	Seed Records	SEED09	CD	2003
Split	Single	Smallfish Records	FISH1201	12" vinyl	2003
The People's Republic	Album	Seed Records	SEEDCD12	CD	2006
Hilda Family	EP	Myuzyk	MZYKN08	Digital only	2008
Hilda Family Remixed	Album	Myuzyk	MZYKN08CD	CD	2008
Monsters & Vortices	EP	B12 Records	B1221	12" vinyl	2009
Lander	EP	Handsette Recordings	HANDSETTE003	10" vinyl	2009
Europa Sky	EP	Uncharted Audio	UNCHDUB03	10" vinyl	2010
Syn Emergence	Album	Balkan Vinyl	BV07	Double 12" vinyl & CD	2010
Lander Remixes	Compilation	Tsar Bomba	TB101	CD	2011
Nebula	EP	Acroplane Recordings	ACPR016	Digital	2012
Nebula Remixes	EP	Acroplane Recordings	ACPR017	Digital	2012
The Benz	EP	Balkan Vinyl	BV10	12" vinyl	2012
In Apophenia	Single	Horn Wax	HW04	12" vinyl	2012
Hecatism	EP	RSI Recordings	RSI001	12" vinyl	2013
