Member	Party	Electorate	State	Term in office
Hon Evan Adermann	National	Fairfax	Qld	1972–1990
Ken Aldred	Liberal	Bruce	Vic	1975–1980, 1983–1996
John Anderson [5 ]	National	Gwydir	NSW	1989–2007
Neil Andrew	Liberal	Wakefield	SA	1983–2004
Peter Baldwin	Labor	Sydney	NSW	1983–1998
Allen Blanchard	Labor	Moore	WA	1983–1990
Julian Beale	Liberal	Bruce	Vic	1984–1996
Hon Kim Beazley	Labor	Swan	WA	1980–2007
David Beddall	Labor	Rankin	Qld	1983–1998
Gordon Bilney	Labor	Kingston	SA	1983–1996
Hon Dr Neal Blewett	Labor	Bonython	SA	1977–1994
Charles Blunt	National	Richmond	NSW	1984–1990
Hon Lionel Bowen	Labor	Kingsford-Smith	NSW	1969–1990
Ray Braithwaite	National	Dawson	Qld	1975–1996
Bob Brown	Labor	Charlton	NSW	1980–1998
Hon John Brown	Labor	Parramatta	NSW	1977–1990
Hon Neil Brown	Liberal	Menzies	Vic	1969–1972, 1975–1983, 1984–1991
John Brumby	Labor	Bendigo	Vic	1983–1990
Max Burr	Liberal	Lyons	Tas	1975–1993
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Ewen Cameron	Liberal	Indi	Vic	1977–1993
Donald Cameron	Liberal	Moreton	Qld	1966–1983, 1983–1990
Ian Cameron	National	Maranoa	Qld	1980–1990
Graeme Campbell	Labor	Kalgoorlie	WA	1980–1998
Hon Jim Carlton	Liberal	Mackellar	NSW	1977–1994
David Charles	Labor	Isaacs	Vic	1980–1990
Dr Ric Charlesworth	Labor	Perth	WA	1983–1993
Hon Joan Child	Labor	Henty	Vic	1974–1975, 1980–1990
Bob Chynoweth	Labor	Dunkley	Vic	1984–1990, 1993–1996
Peter Cleeland	Labor	McEwen	Vic	1984–1990, 1993–1996
Michael Cobb	National	Parkes	NSW	1984–1998
Hon Barry Cohen	Labor	Robertson	NSW	1969–1990
David Connolly	Liberal	Bradfield	NSW	1974–1996
Brian Courtice	Labor	Hinkler	Qld	1987–1993
Bruce Cowan	National	Lyne	NSW	1980–1993
Mary Crawford	Labor	Forde	Qld	1987–1996
Manfred Cross	Labor	Brisbane	Qld	1961–1975, 1980–1990
Barry Cunningham	Labor	McMillan	Vic	1980–1990, 1993–1996
Elaine Darling	Labor	Lilley	Qld	1980–1993
Hon John Dawkins	Labor	Fremantle	WA	1974–1975, 1977–1994
Hon Don Dobie	Liberal	Cook	NSW	1966–1972, 1975–1998
Alexander Downer	Liberal	Mayo	SA	1984–2008
Stephen Dubois	Labor	St George	NSW	1984–1993
Hon Michael Duffy	Labor	Holt	Vic	1980–1996
Hon Peter Duncan	Labor	Makin	SA	1984–1996
Dr Harry Edwards	Liberal	Berowra	NSW	1972–1993
Ron Edwards	Labor	Stirling	WA	1983–1993
Wendy Fatin	Labor	Brand	WA	1983–1996
Hon Wal Fife	Liberal	Hume	NSW	1975–1993
Tim Fischer	National	Farrer	NSW	1984–2001
Peter Fisher	National	Mallee	Vic	1972–1993
Eric Fitzgibbon	Labor	Hunter	NSW	1984–1996
Ross Free	Labor	Lindsay	NSW	1980–1996
John Gayler	Labor	Leichhardt	Qld	1983–1993
George Gear	Labor	Canning	WA	1983–1996
Bruce Goodluck	Liberal	Franklin	Tas	1975–1993
Russ Gorman	Labor	Greenway	NSW	1983–1996
Ted Grace	Labor	Fowler	NSW	1984–1998
Alan Griffiths	Labor	Maribyrnong	Vic	1983–1996
Steele Hall	Liberal	Boothby	SA	1981–1996
Bob Halverson	Liberal	Casey	Vic	1984–1998
Gerry Hand	Labor	Melbourne	Vic	1983–1993
Elizabeth Harvey	Labor	Hawker	SA	1987–1990
Hon Bob Hawke	Labor	Wills	Vic	1980–1992
David Hawker	Liberal	Wannon	Vic	1983–2010
Hon Bill Hayden [4 ]	Labor	Oxley	Qld	1961–1988
Dr John Hewson	Liberal	Wentworth	NSW	1987–1995
Noel Hicks	National	Riverina-Darling	NSW	1980–1998
Hon Clyde Holding	Labor	Melbourne Ports	Vic	1977–1998
Colin Hollis	Labor	Throsby	NSW	1983–1998
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Hon Brian Howe	Labor	Batman	Vic	1977–1996
Ben Humphreys	Labor	Griffith	Qld	1977–1996
Hon Ralph Hunt [5 ]	National	Gwydir	NSW	1969–1990
Hon Chris Hurford [1 ]	Labor	Adelaide	SA	1969–1987
Carolyn Jakobsen	Labor	Cowan	WA	1984–1993
Harry Jenkins	Labor	Scullin	Vic	1986–2013
Gary Johns	Labor	Petrie	Qld	1987–1996
Hon Barry Jones	Labor	Lalor	Vic	1977–1998
David Jull	Liberal	Fadden	Qld	1975–1983, 1984–2007
Hon Bob Katter	National	Kennedy	Qld	1966–1990
Hon Paul Keating	Labor	Blaxland	NSW	1969–1996
Hon Ros Kelly	Labor	Canberra	ACT	1980–1995
Lewis Kent	Labor	Hotham	Vic	1980–1990
Hon John Kerin	Labor	Werriwa	NSW	1972–1975, 1978–1993
Duncan Kerr	Labor	Denison	Tas	1987–2010
Dr Richard Klugman	Labor	Prospect	NSW	1969–1990
Tony Lamb	Labor	Streeton	Vic	1972–1975, 1984–1990
John Langmore	Labor	Fraser	ACT	1984–1997
Michael Lavarch	Labor	Fisher	Qld	1987–1996
Michael Lee	Labor	Dobell	NSW	1984–2001
Ted Lindsay	Labor	Herbert	Qld	1983–1996
Bruce Lloyd	National	Murray	Vic	1971–1996
Hon Michael MacKellar	Liberal	Warringah	NSW	1969–1994
Hon Ian Macphee	Liberal	Goldstein	Vic	1974–1990
Stephen Martin	Labor	Macarthur	NSW	1984–2002
Stewart McArthur	Liberal	Corangamite	Vic	1984–2007
Peter McGauran	National	Gippsland	Vic	1983–2008
Jeannette McHugh	Labor	Phillip	NSW	1983–1996
Leo McLeay	Labor	Grayndler	NSW	1979–2004
Hon Tom McVeigh [3 ]	National	Groom	Qld	1972–1988
John Mildren	Labor	Ballarat	Vic	1980–1990
Chris Miles	Liberal	Braddon	Tas	1984–1998
Clarrie Millar	National	Wide Bay	Qld	1974–1990
Peter Milton	Labor	La Trobe	Vic	1980–1990
Hon John Moore	Liberal	Ryan	Qld	1975–2001
Allan Morris	Labor	Newcastle	NSW	1983–1998
Hon Peter Morris	Labor	Shortland	NSW	1972–1998
John Mountford	Labor	Banks	NSW	1980–1990
Garry Nehl	National	Cowper	NSW	1984–2001
Neil O'Keefe	Labor	Burke	Vic	1984–2001
Lloyd O'Neil	Labor	Grey	SA	1983–1993
Hon Andrew Peacock	Liberal	Kooyong	Vic	1966–1994
James Porter	Liberal	Barker	SA	1975–1990
Mike Pratt [1 ]	Liberal	Adelaide	SA	1988–1990
Roger Price	Labor	Chifley	NSW	1984–2010
Geoff Prosser	Liberal	Forrest	WA	1987–2007
Gary Punch	Labor	Barton	NSW	1983–1996
Peter Reith	Liberal	Flinders	Vic	1982–1983, 1984–2001
Hon Ian Robinson	National	Page	NSW	1963–1990
Allan Rocher	Liberal	Curtin	WA	1981–1998
Philip Ruddock	Liberal	Dundas	NSW	1973–present
John Saunderson	Labor	Aston	Vic	1983–1990
Rod Sawford [2 ]	Labor	Port Adelaide	SA	1988–2007
Hon Gordon Scholes	Labor	Corio	Vic	1967–1993
Con Sciacca	Labor	Bowman	Qld	1987–2004
John Scott	Labor	Hindmarsh	SA	1980–1993
Les Scott [4 ]	Labor	Oxley	Qld	1988–1996
Peter Shack	Liberal	Tangney	WA	1977–1983, 1984–1993
John Sharp	National	Gilmore	NSW	1984–1998
Roger Shipton	Liberal	Higgins	Vic	1975–1990
Hon David Simmons	Labor	Calare	NSW	1983–1996
Rt Hon Ian Sinclair	National	New England	NSW	1963–1998
Warwick Smith	Liberal	Bass	Tas	1984–1993
Jim Snow	Labor	Eden-Monaro	NSW	1983–1996
Warren Snowdon	Labor	Northern Territory	NT	1987–1996, 1998–present
John Spender	Liberal	North Sydney	NSW	1980–1990
Peter Staples	Labor	Jagajaga	Vic	1983–1996
Kathy Sullivan	Liberal	Moncrieff	Qld	1984–2001
Bill Taylor [3 ]	Liberal	Groom	Qld	1988–1998
Dr Andrew Theophanous	Labor	Calwell	Vic	1980–2001
Robert Tickner	Labor	Hughes	NSW	1984–1996
Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Hon Tom Uren	Labor	Reid	NSW	1958–1990
Alasdair Webster	Liberal	Macquarie	NSW	1984–1993
Hon Stewart West	Labor	Cunningham	NSW	1977–1993
Peter White	Liberal	McPherson	Qld	1981–1990
Hon Ralph Willis	Labor	Gellibrand	Vic	1972–1998
Hon Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972–1993
Dr Bob Woods	Liberal	Lowe	NSW	1987–1993
Dr Michael Wooldridge	Liberal	Chisholm	Vic	1987–2001
Keith Wright	Labor	Capricornia	Qld	1984–1993
Hon Mick Young [2 ]	Labor	Port Adelaide	SA	1974–1988
