Year	Tournament	Venue	Result	Extra
1991	European Junior Championships	Thessaloniki , Greece	1st	4x100 m relay
1998	European Championships	Munich , Germany	7th	200 m
1998	European Championships	Munich , Germany	2nd	4x100 m relay
1998	World Cup	Johannesburg , South Africa	3rd	4x100 m relay
2000	Olympic Games	Sydney , Australia	6th	4x100 m relay
2001	World Championships	Edmonton , Canada	1st	4x100 m relay
2002	European Indoor Championships	Vienna , Austria	3rd	200 m
2002	European Championships	Munich , Germany	5th	200 m
2002	European Championships	Munich , Germany	2nd	4x100 m relay
2002	World Cup	Madrid , Spain	8th	200 m
2002	World Cup	Madrid , Spain	5th	4x100 m relay
