Race Title	Circuit	City / State	Date	Winner
Clipsal 500	Adelaide Street Circuit	Adelaide , South Australia	19 - 22 Mar	Jamie Whincup Jamie Whincup
Clipsal 500	Adelaide Street Circuit	Adelaide , South Australia	19 - 22 Mar	David Russell
V8 Supercars Manufacturers Challenge	Albert Park	Melbourne , Victoria	26 - 29 Mar	Craig Lowndes
Hamilton 400	Hamilton Street Circuit	Hamilton , New Zealand	17 - 19 Apr	Jamie Whincup Jamie Whincup
Goulburn	Wakefield Park	Goulburn , New South Wales	25 - 26 Apr	Adam Wallis
Winton	Winton Motor Raceway	Benalla , Victoria	1–3 May	Craig Lowndes Craig Lowndes
Winton	Winton Motor Raceway	Benalla , Victoria	1–3 May	Jonathon Webb
Falken Tasmania Challenge	Symmons Plains Raceway	Launceston , Tasmania	29–31 May	Garth Tander Jamie Whincup
Mallala	Mallala Motor Sport Park	Adelaide , South Australia	6 - 7 Jun	Adam Wallis
Skycity Triple Crown	Hidden Valley Raceway	Darwin , Northern Territory	19 - 21 Jun	Jamie Whincup Michael Caruso
Winton	Winton Motor Raceway	Benalla , Victoria	27 - 28 Jun	Terry Wyhoon
Dunlop Townsville 400	Townsville Street Circuit	Townsville , Queensland	10 - 12 Jul	Jamie Whincup James Courtney
Dunlop Townsville 400	Townsville Street Circuit	Townsville , Queensland	10 - 12 Jul	James Moffat
Norton 360 Sandown Challenge	Sandown Raceway	Melbourne , Victoria	31 Jul - 2 Aug	Will Davison Garth Tander
Norton 360 Sandown Challenge	Sandown Raceway	Melbourne , Victoria	31 Jul - 2 Aug	David Russell
Queensland House and Land.com 300	Queensland Raceway	Ipswich , Queensland	21 - 23 Aug	Jamie Whincup Will Davison
Queensland House and Land.com 300	Queensland Raceway	Ipswich , Queensland	21 - 23 Aug	Jonathon Webb
Oran Park	Oran Park Raceway	Sydney , New South Wales	29 - 30 Aug	Shane Beikoff
L&H 500	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	11 - 13 Sep	Garth Tander Will Davison
Supercheap Auto Bathurst 1000	Mount Panorama Circuit	Bathurst , New South Wales	8 - 11 Oct	Garth Tander Will Davison
Supercheap Auto Bathurst 1000	Mount Panorama Circuit	Bathurst , New South Wales	8 - 11 Oct	Jonathon Webb
V8 Supercar Challenge	Surfers Paradise Street Circuit	Surfers Paradise , Queensland	22 - 25 Oct	Garth Tander Mark Winterbottom
Desert 400	Bahrain International Circuit	Manama , Bahrain	5 - 7 Nov	event cancelled
The Island 300	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	7 - 8 Nov	Jamie Whincup Jamie Whincup
BigPond 300	Barbagallo Raceway	Perth , Western Australia	21 - 23 Nov	Jamie Whincup Craig Lowndes
Sandown	Sandown Raceway	Melbourne , Victoria	28 - 29 Nov	Steve Owen
Sydney Telstra 500	Homebush Street Circuit	Sydney , New South Wales	4 - 6 Dec	Garth Tander James Courtney
Sydney Telstra 500	Homebush Street Circuit	Sydney , New South Wales	4 - 6 Dec	Jonathon Webb
