Season	Champion	Motorcycle	Wins	2nd pl.	3rd pl.	Team
1988	  Fred Merkel	Honda RC30	2	2	1	Rumi Honda
1989	  Fred Merkel	Honda RC30	3	2	5	Rumi Honda
1990	  Raymond Roche	Ducati 851	8	7	2	Squadra Corse Ducati Lucchinelli
1991	  Doug Polen	Ducati 888	17	4	0	Fast by Ferracci Ducati
1992	  Doug Polen	Ducati 888	9	4	2	Team Police Ducati
1993	  Scott Russell	Kawasaki Ninja ZX-7RR	5	12	1	Team Muzzy Kawasaki
1994	  Carl Fogarty	Ducati 916	10	4	0	Virginio Ferrari Ducati Corse
1995	  Carl Fogarty	Ducati 916	13	6	0	Virginio Ferrari Ducati Corse
1996	  Troy Corser	Ducati 916	7	5	1	Promotor Racing Team
1997	  John Kocinski	Honda RC45	9	4	4	Castrol Honda-HRC
1998	  Carl Fogarty	Ducati 916	3	6	5	Ducati Performance
1999	  Carl Fogarty	Ducati 996	11	6	2	Ducati Performance
2000	  Colin Edwards	Honda VTR1000 SP/RC51	8	2	1	Castrol Honda-HRC
2001	  Troy Bayliss	Ducati 996R	6	6	3	Ducati Infostrada
2002	  Colin Edwards	Honda VTR1000 SP-2/RC51	11	10	4	Castrol Honda-HRC
2003	  Neil Hodgson	Ducati 999F03	13	7	0	Ducati FILA
2004	  James Toseland	Ducati 999F04	3	9	2	Ducati FILA
2005	  Troy Corser	Suzuki GSX-R1000 K5	8	5	5	Alstare Suzuki Corona
2006	  Troy Bayliss	Ducati 999F06	12	3	1	Ducati Xerox
2007	  James Toseland	Honda CBR1000RR	8	5	1	Hannspree Ten Kate Honda
2008	  Troy Bayliss	Ducati 1098 F08	13	6	5	Ducati Xerox Team
2009	  Ben Spies	Yamaha YZF-R1	14	2	1	Yamaha World Superbike Team
2010	  Max Biaggi	Aprilia RSV4 1000	10	2	2	Aprilia Alitalia Racing
2011	  Carlos Checa	Ducati 1098R	15	0	6	Althea Racing
2012	  Max Biaggi	Aprilia RSV4 1000	5	2	4	Aprilia Racing Team
2013	  Tom Sykes	Kawasaki Ninja ZX-10R	9	4	5	Kawasaki Racing Team
