No. in series	No. in season	Title	Directed by	Written by	U.S. viewers (millions)	Original U.S. air date	Prod. code
80	1	"Alex Tells the World"	Victor Gonzalez	Gigi McCreery & Perry Rein	4.1	November12,2010	401
81	2	"Alex Gives Up"	Victor Gonzalez	Todd J. Greenwald	N/A	November27,2010	402
82	3	"Lucky Charmed"	Victor Gonzalez	Justin Varava	3.0	December10,2010	403
83	4	"Journey to the Center of Mason"	Robbie Countryman	Peter Dirksen	N/A	December17,2010	404
84	5	"Three Maxes and a Little Lady"	Victor Gonzalez	Richard Goodman	4.0	January7,2011	405
85	6	"Daddy's Little Girl"	Robbie Countryman	Gigi McCreery & Perry Rein	3.4	January21,2011	406
86	7	"Everything's Rosie for Justin"	Victor Gonzalez	Justin Varava	3.9	February4,2011	407
87	8	"Dancing with Angels"	Victor Gonzalez	Richard Goodman	4.5	February11,2011	408
88	9	"Wizards vs. Angels"	Victor Gonzalez	Richard Goodman	5.1	February18,2011	409–410
89	10	"Back To Max"	Guy Distad	Todd J. Greenwald	3.7	March11,2011	411
90	11	"Zeke Finds Out"	David DeLuise	Peter Dirksen	3.0	April8,2011	412
91	12	"Magic Unmasked"	David DeLuise	Justin Varava	2.7	May13,2011	413
92	13	"Meet the Werewolves"	Victor Gonzalez	David Henrie	4.1	June17,2011	415
93	14	"Beast Tamer"	Victor Gonzalez	Gigi McCreery & Perry Rein	4.0	June24,2011	416
94	15	"Wizard of the Year"	Victor Gonzalez	Richard Goodman	3.6	July8,2011	417
95	16	"Misfortune at the Beach"	Jody Margolin Hahn	Vince Cheung & Ben Montanio	3.5	July24,2011	420
96	17	"Wizards vs. Asteroid"	Victor Gonzalez	Peter Dirksen	3.6	August19,2011	418
97	18	"Justin's Back In"	Guy Distad	Todd J. Greenwald	3.2	August26,2011	419
98	19	"Alex the Puppetmaster"	Victor Gonzalez	Gigi McCreery & Perry Rein	2.9	September16,2011	421
99	20	"My Two Harpers"	Victor Gonzalez	Manny Basanese	3.0	September30,2011	422
100	21	"Wizards of Apartment 13B"	Guy Distad	Justin Varava	3.5	October7,2011	423
101	22	"Ghost Roommate"	David DeLuise	Richard Goodman	4.1	October14,2011	424
102	23	"Get Along, Little Zombie"	Victor Gonzalez	Peter Dirksen	3.4	October21,2011	425
103	24	"Wizards vs. Everything"	Victor Gonzalez	Gigi McCreery & Perry Rein	3.4	October28,2011	426
104	25	"Rock Around the Clock"	Guy Distad	Robert Boesel	3.8	November4,2011	414
