Date	Visiting Team	Final Score	Host Team	Stadium
September 8	New Orleans Saints	34-42	Green Bay Packers	Lambeau Field
September 11	Dallas Cowboys	24-27	New York Jets	MetLife Stadium
September 18	Philadelphia Eagles	31-35	Atlanta Falcons	Georgia Dome
September 25	Pittsburgh Steelers	23-20	Indianapolis Colts	Lucas Oil Stadium
October 2	New York Jets	17-34	Baltimore Ravens	M&T Bank Stadium
October 9	Green Bay Packers	25-14	Atlanta Falcons	Georgia Dome
October 16	Minnesota Vikings	10-39	Chicago Bears	Soldier Field
October 23	Indianapolis Colts	7-62	New Orleans Saints	Louisiana Superdome
October 30	Dallas Cowboys	7-34	Philadelphia Eagles	Lincoln Financial Field
November 6	Baltimore Ravens	23-20	Pittsburgh Steelers	Heinz Field
November 13	New England Patriots	37-16	New York Jets	MetLife Stadium
November 20	Philadelphia Eagles	17-10	New York Giants	MetLife Stadium
November 27	Pittsburgh Steelers	13-9	Kansas City Chiefs	Arrowhead Stadium
December 4*	Detroit Lions	17-31	New Orleans Saints	Mercedes-Benz Superdome
December 11	New York Giants	37-34	Dallas Cowboys	Cowboys Stadium
December 18	Baltimore Ravens	14-34	San Diego Chargers	Qualcomm Stadium
December 25	Chicago Bears	21-35	Green Bay Packers	Lambeau Field
January 1	Dallas Cowboys	14-31	New York Giants	MetLife Stadium
January 7	Cincinnati Bengals	10-31	Houston Texans	Reliant Stadium
January 7	Detroit Lions	28-45	New Orleans Saints	Mercedes-Benz Superdome
February 5	New York Giants	21-17	New England Patriots	Lucas Oil Stadium ( Super Bowl XLVI )
