Round	Date	City and venue	Winner	Runner-up	3rd placed	4th placed	Results
1	April 25	Prague , Czech Republic Markéta Stadium	Emil Sayfutdinov	Fredrik Lindgren	Jason Crump	Leigh Adams	results
2	May 9	Leszno , Poland Alfred Smoczyk Stadium	Jason Crump	Tomasz Gollob	Andreas Jonsson	Greg Hancock	results
3	May 30	Gothenburg , Sweden Ullevi	Emil Sayfutdinov	Jason Crump	Antonio Lindbäck	Nicki Pedersen	results
4	June 13	Copenhagen , Denmark Parken Stadium	Jason Crump	Greg Hancock	Tomasz Gollob	Niels Kristian Iversen	results
5	June 27	Cardiff , Great Britain Millennium Stadium	Jason Crump	Fredrik Lindgren	Hans N. Andersen	Greg Hancock	results
6	August 1	Daugavpils , Latvia Latvijas Spidveja Centrs	Greg Hancock	Kenneth Bjerre	Tomasz Gollob	Jason Crump	results
7	August 15	Målilla , Sweden G&B Stadium	Tomasz Gollob	Jason Crump	Hans N. Andersen	Kenneth Bjerre	results
8	August 29	Vojens , Denmark Speedway Center	Andreas Jonsson	Rune Holta	Kenneth Bjerre	Emil Sayfutdinov	results
9	September 12	Krško , Slovenia Matije Gubca Stadium	Emil Sayfutdinov	Rune Holta	Tomasz Gollob	Nicki Pedersen	results
10	September 26	Terenzano , Italy Pista Olimpia	Tomasz Gollob	Hans N. Andersen	Nicki Pedersen	Grzegorz Walasek	results
