Series #	Episode #	Title	Directed by	Written by	U.S. viewers (million)	Original airdate	Production Code
52	1	"The Aftermath"	Ian Toynton	Josh Schwartz	7.50	September8,2005	2T6251
53	2	"The Shape of Things to Come"	Tony Wharmby	J. J. Philbin	6.22	September15,2005	2T6252
54	3	"The End of Innocence"	Michael Lange	Stephanie Savage	6.45	September22,2005	2T6253
55	4	"The Last Waltz"	Ian Toynton	John Stephens	6.56	September29,2005	2T6254
56	5	"The Perfect Storm"	Tony Wharmby	Mike Kelley	6.65	November3,2005	2T6255
57	6	"The Swells"	Michael Fresco	J. J. Philbin	5.76	November10,2005	2T6256
58	7	"The Anger Management"	Michael Fresco	John Stephens	6.20	November17,2005	2T6257
59	8	"The Game Plan"	Tate Donovan	Cory Martin	5.90	December1,2005	2T6258
60	9	"The Disconnect"	Tony Wharmby	Stephanie Savage	5.88	December8,2005	2T6259
61	10	"The Chrismukkah Bar-Mitzvahkkah"	Ian Toynton	Josh Schwartz	6.22	December15,2005	2T6260
62	11	"The Safe Harbor"	Tony Wharmby	Mike Kelley	5.13	January12,2006	2T6261
63	12	"The Sister Act"	Ian Toynton	Leila Gerstein	5.36	January19,2006	2T6262
64	13	"The Pot Stirrer"	Norman Buckley	John Stephens	5.70	January26,2006	2T6263
65	14	"The Cliffhanger"	Michael Lange	J. J. Philbin	5.70	February2,2006	2T6264
66	15	"The Heavy Lifting"	Ian Toynton	Stephanie Savage	5.25	February9,2006	2T6265
67	16	"The Road Warrior"	Michael Fresco	Mike Kelley	7.36	March9,2006	2T6266
68	17	"The Journey"	Roxann Dawson	John Stephens	5.40	March16,2006	2T6267
69	18	"The Undertow"	Robert Duncan McNeill	Mark Fish & J. J. Philbin	5.36	March23,2006	2T6268
70	19	"The Secrets and Lies"	Michael Fresco	Stephanie Savage & Josh Schwartz	5.50	March30,2006	2T6269
71	20	"The Day After Tomorrow"	Norman Buckley	Leila Gerstein	5.06	April6,2006	2T6270
72	21	"The Dawn Patrol"	Ian Toynton	Mike Kelley	4.33	April13,2006	2T6271
73	22	"The College Try"	Tony Wharmby	J. J. Philbin	5.36	April20,2006	2T6272
74	23	"The Party Favor"	Michael Lange	John Stephens	5.41	April27,2006	2T6273
75	24	"The Man of the Year"	Tony Wharmby	Stephanie Savage	5.10	May4,2006	2T6274
