Driver	Constructor	Laps	Time/Retired	Grid
Graham Hill	Lotus - Ford	90	2:15:02.1	6
Denny Hulme	McLaren - Ford	90	+ 15.9	3
Brian Redman	Cooper - BRM	89	+ 1 Lap	13
Ludovico Scarfiotti	Cooper - BRM	89	+ 1 Lap	12
Jean-Pierre Beltoise	Matra - Ford	81	+ 9 Laps	5
Bruce McLaren	McLaren - Ford	77	Oil Leak	4
John Surtees	Honda	74	Gearbox	7
Jo Siffert	Lotus - Ford	62	Transmission	10
Chris Amon	Ferrari	57	Fuel Pump	1
Piers Courage	BRM	52	Fuel Pump	11
Pedro Rodríguez	BRM	27	Accident	2
Jacky Ickx	Ferrari	13	Ignition	8
Jochen Rindt	Brabham - Repco	10	Oil Pressure	9
