Rank	Movie	Year	Worldwide Gross	Director	Verdict
1	3 Idiots	2009	392 crore ()	Rajkumar Hirani	All Time Blockbuster
2	Chennai Express	2013	314 crore ()	Rohit Shetty	Blockbuster
3	Ek Tha Tiger	2012	310 crore ()	Kabir Khan	Blockbuster
4	Yeh Jawaani Hai Deewani	2013	301 crore ()	Ayan Mukerji	Blockbuster
5	Dabangg 2	2012	251 crore ()	Arbaaz Khan	Blockbuster
6	Bodyguard	2011	230 crore ()	Siddique	Blockbuster
7	Dabangg	2010	215 crore ()	Abhinav Singh Kashyap	All Time Blockbuster
8	Jab Tak Hai Jaan	2012	211 crore ()	Yash Chopra	Super Hit
9	Don 2	2011	206 crore ()	Farhan Akhtar	Super Hit
10	Ra.One	2011	202 crore ()	Anubhav Sinha	Super Hit
