Version	Length	Album	Remixed by	Year
Album version	4:07	Ainsi soit je...	—	1987
Single version	3:50	—	Laurent Boutonnat	1987
Boy remix	5:55	Dance Remixes	Thierry Rogen	1987
Girl remix	4:20	—	Thierry Rogen	1987
Music video	8:43	Les Clips Vol. II , Music Videos I	—	1987
Live version (recorded in 1989)	6:10	En Concert	—	1989
Live version (recorded in 1996)	4:23	Live à Bercy	—	1996
Live version (recorded in 2000)	0:34	Mylenium Tour	—	2000
Album version	4:15	Les Mots	Laurent Boutonnat	2001
J.C.A. remix	5:52	RemixeS	J.C.A.	2003
Live version (recorded in 2006)	4:46	Avant que l'ombre... à Bercy	—	2006
Live version (recorded in 2009)	4:09	N°5 on Tour	—	2009
