Team	Country	Value ($M)	Debt as %of value	% change on year	Revenue ($M)	Operating income($m)
Manchester United	England	1,453	84	6	310	92
Real Madrid	Spain	1,036	10	2	374	83
Arsenal	England	915	53	9	246	20
Bayern Munich	Germany	838	0	9	262	62
Milan	Italy	824	0	-10	305	46
Juventus	Italy	567	17	-18	321	45
Internazionale	Italy	555	n/a	10	264	26
Chelsea	England	537	28	6	283	-37
Barcelona	Spain	535	12	22	331	12
Schalke	Germany	471	53	45	157	37
Liverpool	England	454	18	28	225	37
Lyon	France	343	n/a	65	163	10
Newcastle United	England	260	46	-14	159	11
Tottenham Hotspur	England	243	0	27	137	9
Roma	Italy	224	0	-15	162	53
Hamburg	Germany	221	n/a	n/a	130	31
Manchester City	England	208	83	-6	114	9
Borussia Dortmund	Germany	199	126	61	114	1
Ajax	Netherlands	196	0	13	95	9
Celtic	Scotland	185	14	18	106	-8
Everton	England	165	32	34	107	-15
Marseille	France	157	n/a	n/a	105	6
West Ham United	England	156	27	n/a	111	6
Rangers	Scotland	147	7	32	113	12
Aston Villa	England	140	16	16	91	-21
