Series #	Production Code	Title	Directed by	Written by	United States Original Airdate	Canada Original Airdate
27	201	"Zipper the Zoomit Dog"	Jos Humphrey	Mark Drop	June 2, 2012	September 7, 2012
28	202	"The Fraud Princess"	Greg Sullivan	Rachel Lipman	June 9, 2012	September 14, 2012
29	203	"The Super Secret Pup Club"	Jos Humphrey	Bart Jennett	June 16, 2012	September 21, 2012
30	204	"Barlow"	Greg Sullivan	Alan Hanson	June 23, 2012	September 28, 2012
31	205	"There's Something About Camelia"	Jos Humphrey	Tony Infante	June 30, 2012	October 5, 2012
32	206	"Good Dog, McLeish!"	Greg Sullivan	Evan Gore	July 7, 2012	October 12, 2012
33	208	"The Ruff Ruff Bunch"	Jos Humphrey	Rich Fogel	July 14, 2012	October 19, 2012
34	209	"Salty"	Greg Sullivan	Merriwether Williams	July 21, 2012	October 26, 2012
35	207	"Squawk"	Greg Sullivan	Chelsea Meyer	July 28, 2012	November 2, 2012
36	212	"The Accidental Pup Star"	Jos Humphrey	Tony Infante	August 25, 2012	November 9, 2012
37	210	"No Dogs Allowed"	Jos Humphrey	Rich Whitley	September 1, 2012	November 16, 2012
38	211	"Pound Preemies"	Jos Humphrey	Eric Trueheart	December 1, 2012	September 18, 2012
