Competition	Played	Drawn	Lost	Position	Coach	Captain	Main Article
Super League 1	22	0	5	3/12	Brian Smith	Robbie Paul	Bradford Bulls 1996
Super League 2	22	0	2	1/12	Matthew Elliott	Robbie Paul	Bradford Bulls 1997
Super League 3	23	0	11	5/12	Matthew Elliott	Robbie Paul	Bradford Bulls 1998
Super League 4	30	1	4	1/14	Matthew Elliott	Robbie Paul	Bradford Bulls 1999
Super League 5	28	3	5	3/12	Matthew Elliott	Robbie Paul	Bradford Bulls 2000
Super League 6	28	1	5	1/12	Brian Noble	Robbie Paul	Bradford Bulls 2001
Super League 7	30	0	6	3/12	Brian Noble	Robbie Paul	Bradford Bulls 2002
Super League 8	30	0	6	1/12	Brian Noble	Robbie Paul	Bradford Bulls 2003
Super League 9	28	1	7	2/12	Brian Noble	Robbie Paul	Bradford Bulls 2004
Super League 10	28	1	9	3/12	Brian Noble	Jamie Peacock	Bradford Bulls 2005
Super League 11	28	2	10	4/12	Brian Noble	Iestyn Harris	Bradford Bulls 2006
Super League 11	28	2	10	4/12	Steve McNamara	Iestyn Harris	Bradford Bulls 2006
Super League 12	27	1	9	3/12	Steve McNamara	Paul Deacon	Bradford Bulls 2007
Super League 13	27	0	13	5/12	Steve McNamara	Paul Deacon	Bradford Bulls 2008
Super League 14	27	1	14	9/14	Steve McNamara	Paul Deacon	Bradford Bulls 2009
Super League 15	27	1	17	10/14	Lee St Hilaire	Andy Lynch	Bradford Bulls 2010
Super League 16	27	2	16	10/14	Mick Potter	Andy Lynch	Bradford Bulls 2011
Super League 17	27	1	12	9/14	Mick Potter	Heath L'Estrange , Matt Diskin	Bradford Bulls 2012
Super League 18	27	2	16	9/14	Francis Cummins	Heath L'Estrange , Matt Diskin	Bradford Bulls 2013
Super League 19	0	0	0	0/14	Francis Cummins	Heath L'Estrange , Matt Diskin	Bradford Bulls 2014
