Class	Wheel arrangement	Fleet number(s)	Manufacturer	Year made	Quantity made	Quantity preserved
0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO
B	0-6-0	321	Rhode Island	1887	1	1
B	0-6-0	323, 325	Rhode Island	1892	2	0
B-1	0-6-0	326–333	Alco -Cooke	1902–1907	8	0
B-2	0-6-0	334–339	Alco -Schenectady	1909–1910	6	0
B-3	0-6-0	340–343	Alco -Schenectady	1912	4	0
B-4	0-6-0	344–349	Alco -Schenectady	1915	6	1
B-4	0-6-0	350–354	Alco -Brooks	1920	5	1
B-20	0-6-0	2308–2313	Schenectady	1886	6	0
B-21	0-6-0	2314–2316	Brooks	1892	3	0
B-22	0-6-0	2317–2320	Brooks	1900	4	0
B-23	0-6-0	2321–2328	Brooks & Alco-Brooks	1899–1809	8	0
