Tie no	Home team	Score	Away team	Date
1	Bristol City	1–1	Plymouth Argyle	10 January 1987
Replay	Plymouth Argyle	3–1	Bristol City	19 January 1987
2	Watford	3–1	Maidstone United	10 January 1987
3	Reading	1–3	Arsenal	10 January 1987
4	Aston Villa	2–2	Chelsea	10 January 1987
Replay	Chelsea	2–1	Aston Villa	21 January 1987
5	Sheffield Wednesday	1–0	Derby County	26 January 1987
6	Grimsby Town	1–1	Stoke City	10 January 1987
Replay	Stoke City	1–1	Grimsby Town	26 January 1987
Replay	Stoke City	6–0	Grimsby Town	28 January 1987
7	Middlesbrough	0–1	Preston North End	10 January 1987
8	Luton Town	0–0	Liverpool	11 January 1987
Replay	Liverpool	0–0	Luton Town	26 January 1987
Replay	Luton Town	3–0	Liverpool	28 January 1987
9	Everton	2–1	Southampton	10 January 1987
10	Shrewsbury Town	1–2	Hull City	31 January 1987
11	Wrexham	1–2	Chester City	10 January 1987
12	Sheffield United	0–0	Brighton & Hove Albion	10 January 1987
Replay	Brighton & Hove Albion	1–2	Sheffield United	21 January 1987
13	Ipswich Town	0–1	Birmingham City	10 January 1987
14	Newcastle United	2–1	Northampton Town	21 January 1987
15	Tottenham Hotspur	3–2	Scunthorpe United	10 January 1987
16	Queens Park Rangers	5–2	Leicester City	10 January 1987
17	Fulham	0–1	Swindon Town	10 January 1987
18	Coventry City	3–0	Bolton Wanderers	10 January 1987
19	Portsmouth	2–0	Blackburn Rovers	10 January 1987
20	Manchester United	1–0	Manchester City	10 January 1987
21	Norwich City	1–1	Huddersfield Town	10 January 1987
Replay	Huddersfield Town	2–4	Norwich City	21 January 1987
22	Millwall	0–0	Cardiff City	10 January 1987
Replay	Cardiff City	2–2	Millwall	20 January 1987
Replay	Cardiff City	1–0	Millwall	26 January 1987
23	Oldham Athletic	1–1	Bradford City	10 January 1987
Replay	Bradford City	5–1	Oldham Athletic	19 January 1987
24	Crystal Palace	1–0	Nottingham Forest	11 January 1987
25	Wimbledon	2–1	Sunderland	10 January 1987
26	Charlton Athletic	1–2	Walsall	10 January 1987
27	Aldershot	3–0	Oxford United	10 January 1987
28	Wigan Athletic	2–1	Gillingham	19 January 1987
29	Orient	1–1	West Ham United	10 January 1987
Replay	West Ham United	4–1	Orient	31 January 1987
30	Telford United	1–2	Leeds United	11 January 1987
31	Swansea City	3–2	West Bromwich Albion	10 January 1987
32	Caernarfon Town	0–0	Barnsley	10 January 1987
Replay	Barnsley	1–0	Caernarfon Town	26 January 1987
