Tie no	Home team	Score	Away team	Date
1	A.F.C. Bournemouth	2–0	Southend United	11 December 1971
2	Barnet	1–4	Torquay United	11 December 1971
3	Reading	1–0	Aldershot	11 December 1971
4	Shrewsbury Town	2–1	Guildford City	11 December 1971
5	Wrexham	4–0	Wigan Athletic	11 December 1971
6	Barnsley	0–0	Chesterfield	11 December 1971
Replay	Chesterfield	1–0	Barnsley	15 December 1971
7	Bristol Rovers	3–0	Cambridge United	11 December 1971
8	Rossendale United	1–4	Bolton Wanderers	11 December 1971
9	Brighton & Hove Albion	1–1	Walsall	11 December 1971
Replay	Walsall	2–1	Brighton & Hove Albion	14 December 1971
10	Blyth Spartans	1–0	Stockport County	11 December 1971
11	Mansfield Town	2–2	Tranmere Rovers	11 December 1971
Replay	Tranmere Rovers	4–2	Mansfield Town	15 December 1971
12	Port Vale	1–0	Darlington	11 December 1971
13	Workington	1–3	Bury	11 December 1971
14	Hereford United	0–0	Northampton Town	11 December 1971
Replay	Northampton Town	2–2	Hereford United	14 December 1971
2nd replay	Hereford United	2–1	Northampton Town	20 December 1971
15	Rotherham United	1–1	York City	11 December 1971
Replay	York City	2–3	Rotherham United	13 December 1971
16	Romford	0–1	Gillingham	11 December 1971
17	Boston United	2–1	Hartlepool	11 December 1971
18	Peterborough United	4–0	Enfield	11 December 1971
19	South Shields	1–3	Notts County	11 December 1971
20	Swansea City	0–0	Exeter City	11 December 1971
Replay	Exeter City	0–1	Swansea City	15 December 1971
