Name [b ]	Term [c ]	Games	Win%	PWin%
George "Red" Sullivan	1967 – 1969	150	.393	—
Red Kelly *	1969 – 1973	274	.423	.429
Ken Schinkel	1973 – 1974 , 1976 – 1977	203	.478	—
Marc Boileau	1974 – 1976	151	.517	.555
Johnny Wilson	1977 – 1980	240	.471	.333
Eddie Johnston	1980 – 1983 , 1993 – 1997	516	.508	.478
Lou Angotti	1983–1984	80	.232	—
Bob Berry	1984 – 1987	240	.419	—
Pierre Creamer	1987–1988	80	.506	—
Gene Ubriaco	1988 – 1989	106	.514	.636
Craig Patrick †	1989–1990 , [d ] 1997 [e ]	74	.453	.200
Bob Johnson †	1990–1991	80	.550	.667
Scotty Bowman †	1991 – 1993	164	.628	.696
Kevin Constantine	1997 – 1999	189	.511	.421
Herb Brooks †	1999–2000	57	.570	.545
Ivan Hlinka †	2000 – 2001	86	.558	.500
Rick Kehoe	2001 – 2003	160	.419	—
Ed Olczyk	2003 – 2005	113	.274	—
Michel Therrien	2005 – 2009 [f ]	272	.502	.600
Dan Bylsma	2009 –present	319	.669	.554
