Outcome	Year	Tournament	Partner	Opponent
Runner-up	1989	Thailand Open	Razif Sidek	Park Joo-bong Kim Moon-soo
Winner	1991	Swedish Open	Soo Beng Kiang	Jon Holst-Christensen Thomas Lund
Runner-up	1991	Thailand Open	Soo Beng Kiang	Eddy Hartono Rudy Gunawan
Winner	1992	World Cup	Soo Beng Kiang	Ricky Subagja Rexy Mainaky
Winner	1992	U.S. Open	Soo Beng Kiang	Thomas Lund Jens Olsson
Winner	1992	Malaysia Open	Soo Beng Kiang	Chen Kang Chen Hongyong
Winner	1993	Dutch Open	Soo Beng Kiang	Jiang Xin Yu Qi
Runner-up	1993	World Championships	Soo Beng Kiang	Ricky Subagja Rudy Gunawan
Winner	1994	World Cup	Soo Beng Kiang	Rudy Gunawan Bambang Suprianto
Winner	1995	Asian Championships	Yap Kim Hock	Huang Zhanzhong Jiang Xin
Runner-up	1995	Thailand Open	Yap Kim Hock	Jiang Xin Huang Zhanzhong
Winner	1995	World Grand Prix	Yap Kim Hock	Rudy Gunawan Bambang Suprianto
Winner	1996	Malaysia Open	Yap Kim Hock	Choong Tan Fook Lee Wan Wah
Runner-up	1996	All England Open	Yap Kim Hock	Ricky Subagja Rexy Mainaky
Runner-up	1997	World Championships	Yap Kim Hock	Candra Wijaya Sigit Budiarto
Winner	1998	Dutch Open	Choong Tan Fook	Peter Axelsson Pär-Gunnar Jönsson
Winner	1998	Japan Open	Yap Kim Hock	Denny Kantono Antonius Ariantho
Winner	1999	Hong Kong Open	Yap Kim Hock	Sigit Budiarto Halim Haryanto
Runner-up	1999	Chinese Taipei Open	Choong Tan Fook	Denny Kantono Antonius Ariantho
Runner-up	2000	Chinese Taipei Open	Yap Kim Hock	Candra Wijaya Tony Gunawan
