Municipality	Income Class	District	Population (2010)	Area (km²)
Agno	3rd Class	1st	27508	170
Aguilar	3rd Class	2nd	39529	195
Alcala	3rd Class	5th	41077	46
Anda	3rd Class	1st	37011	75
Asingan	2nd Class	6th	56353	67
Balungao	4th Class	6th	26678	73
Bani	2nd Class	1st	45758	180
Basista	4th Class	2nd	30385	24
Bautista	4th Class	5th	30193	46
Bayambang	1st Class	3rd	111521	144
Binalonan	1st Class	5th	52832	48
Binmaley	1st Class	2nd	78702	119
Bolinao	1st Class	1st	74545	197
Bugallon	2nd Class	2nd	64253	190
Burgos	4th Class	1st	18315	131
Calasiao	1st Class	3rd	91109	48
Dasol	3rd Class	1st	26991	167
Infanta	3rd Class	1st	23455	254
Labrador	4th Class	2nd	21149	91
Laoac	4th Class	5th	29456	41
Lingayen	1st Class	2nd	98740	63
Mabini	3rd Class	1st	24011	291
Malasiqui	1st Class	3rd	123566	131
Manaoag	1st Class	4th	64578	56
Mangaldan	1st Class	4th	98905	48
Mangatarem	1st Class	2nd	69969	318
Mapandan	3rd Class	3rd	34439	30
Natividad	4th Class	6th	22713	134
Pozorrubio	1st Class	5th	66111	135
Rosales	1st Class	6th	59687	66
San Fabian	1st Class	4th	77899	81
San Jacinto	1st Class	4th	37737	44
San Manuel	1st Class	6th	46875	129
San Nicolas	3rd Class	6th	34108	210
San Quintin	3rd Class	6th	32626	116
Santa Barbara	1st Class	3rd	76637	61
Santa Maria	4th Class	6th	31091	70
Santo Tomas	5th Class	5th	14406	13
Sison	3rd Class	5th	43979	82
Sual	1st Class	1st	31216	130
Tayug	3rd Class	6th	40018	51
Umingan	1st Class	6th	67534	258
Urbiztondo	3rd Class	2nd	47831	82
