Date	Visitor	Score	Home	Decision	Attendance	Record
January 2	Columbus	1 – 2	Anaheim	LeClaire	17,174	18–16–6
January 3	Columbus	4 – 3	Los Angeles	Norrena	14,173	19–16–6
January 5	Columbus	2 – 3	San Jose	Norrena	17,496	19–17–6
January 8	Columbus	1 – 6	St. Louis	Norrena	14,818	19–18–6
January 11	St. Louis	4 – 6	Columbus	LeClaire	15,233	20–18–6
January 12	Nashville	1 – 2	Columbus	LeClaire	16,230	21–18–6
January 15	Vancouver	2 – 3	Columbus	LeClaire	13,555	22–18–6
January 17	Columbus	4 – 3	Phoenix	LeClaire	11,114	23–18–6
January 19	Columbus	1 – 3	Dallas	Norrena	17,811	23–19–6
January 20	Columbus	1 – 3	Colorado	LeClaire	17,197	23–20–6
January 22	Columbus	4 – 2	Dallas	LeClaire	17,087	24–20–6
January 24	Columbus	1 – 0	Chicago	LeClaire	16,094	25–20–6
January 29	Phoenix	2 – 4	Columbus	LeClaire	15,127	25–21–6
January 31	Columbus	2 – 4	Nashville	Leclaire	13,745	25–22–6
