Year	Starts	Cuts Made	Wins	Top 10	Top 25	Earnings (€)	Money list rank
1994	1	0	0	0	0	0	n/a 1
1995	1	1	0	0	0	4,200	n/a 1
1996	2	1	0	0	0	6,944	n/a 1
1997	1	1	0	0	0	8,689	n/a 1
1998	22	11	0	1	5	83,823	104
1999	24	15	0	2	8	222,783	50
2000	13	5	0	2	3	68,199	145
2001	17	10	0	2	4	174,011	108
2002	20	8	0	1	2	83,347	152
2003	2	1	0	0	0	1,773	n/a 1
2004	5	3	0	1	1	28,817	n/a 1
2005	7	5	0	1	2	42,845	n/a 1
2006	17	11	2	4	8	1,173,177	16
2007	31	26	0	1	9	717,910	46
2008	26	20	1	8	15	1,218,209	12
2009	22	17	0	3	8	847,844	34
2010	15	10	0	2	7	393,449	74
2011	30	17	0	2	8	329,262	94
2012	25	19	1	2	6	926,062	32
2013*	14	5	0	1	5	150,643	104
Total*	295	189	4	33	91	6,481,987	57
