Region	Public network	Own/community generator	Solar panel	Other source	None
Arica and Parinacota	98.2%	0.8%	0.1%	0.5%	0.5%
Tarapacá	98.5%	0.9%	0.0%	0.1%	0.4%
Antofagasta	98.3%	0.6%	0.0%	0.1%	0.9%
Atacama	98.0%	0.9%	0.3%	0.1%	0.7%
Coquimbo	98.7%	0.1%	0.5%	0.1%	0.5%
Valparaíso	99.1%	0.0%	0.0%	0.7%	0.1%
Santiago	99.9%	0.0%	0.0%	0.1%	0.0%
O'Higgins	99.4%	0.1%	0.0%	0.2%	0.3%
Maule	99.3%	0.1%	0.0%	0.1%	0.5%
Biobío	99.3%	0.1%	0.0%	0.3%	0.4%
Araucanía	98.2%	0.2%	0.0%	0.4%	1.2%
Los Ríos	99.1%	0.1%	0.0%	0.1%	0.7%
Los Lagos	97.6%	1.3%	0.0%	0.4%	0.6%
Aisén	98.5%	0.4%	0.1%	0.2%	0.8%
Magallanes	99.5%	0.3%	0.0%	0.1%	0.1%
