Date	Visitor	Score	Home	Decision	Attendance	Record
February 1	Minnesota	5 – 4	Vancouver	McLean	14,830	29–15–8
February 3	Tampa Bay	2 – 4	Vancouver	Whitmore	14,171	30–15–8
February 9	Vancouver	5 – 1	Quebec	McLean	14,360	31–15–8
February 11	Vancouver	2 – 5	Toronto	McLean	15,720	31–16–8
February 12	Vancouver	3 – 1	Buffalo	Whitmore	16,325	32–16–8
February 15	Vancouver	0 – 3	Los Angeles	McLean	16,005	32–17–8
February 18	Philadelphia	3 – 2	Vancouver	Whitmore	16,150	32–18–8
February 20	Winnipeg	2 – 4	Vancouver	McLean	16,150	33–18–8
February 22	Toronto	8 – 1	Vancouver	McLean	16,150	33–19–8
February 24	NY Rangers	4 – 5	Vancouver	Whitmore	16,150	34–19–8
February 26	Vancouver	7 – 4	Winnipeg	McLean	15,398	35–19–8
