Name	#	Height	Weight	Position	Year	Home Town	High School
Dewey Burke	15	6–0	185	Guard	Junior	Philadelphia, PA	Conestoga
Mike Copeland	40	6–7	225	Forward	Freshman	Winston-Salem, NC	R. J. Reynolds
Bobby Frasor	4	6–3	208	Guard	Freshman	Blue Island, IL	Brother Rice
Marcus Ginyard	1	6–5	218	Guard-Forward	Freshman	Alexandria, VA	Bishop O'Connell
Danny Green	14	6–5	210	Guard	Freshman	North Babylon, NY	St. Mary's
Tyler Hansbrough	50	6–9	245	Center	Freshman	Poplar Bluff, MO	Poplar Bluff
Wes Miller	22	5–11	190	Guard	Junior	Charlotte, NC	New Hampton Prep (N. H.)
David Noel	34	6–6	232	Forward	Senior	Durham, NC	Southern Durham
Will Robinson	30	6–6	220	Forward	Senior	Chapel Hill, NC	Chapel Hill
Byron Sanders	41	6–9	238	Forward	Senior	Gulfport, MS	Harrison Central
Reyshawn Terry	3	6–8	232	Forward	Junior	Winston-Salem, NC	R. J. Reynolds
Quentin Thomas	11	6–3	185	Guard	Sophomore	Oakland, CA	Oakland Technical Senior
Thomas Wilkins	31	5–8	175	Guard	Senior	Cary, NC	Glen Hope
