Line	Historic name	Segment	Gauge	Tracks
Trunk *	—	Oslo East – Eidsvoll	Standard	Single
Røros	Hamar–Grundset	Hamar – Grundset	CAP	Single
Kongsvinger	—	Lillestrøm – Kongsvinger	Standard	Single
Dovre	Trondhjem–Støren	Støren – Trondheim	CAP	Single
Kongsvinger	Border	Kongsvinger – Swedish border	Standard	Single
Randsfjorden	—	Vikersund – Drammen	CAP	Single
Randsfjorden	—	Tyristrand – Vikersund	CAP	Single
Randsfjorden	—	Randsfjord – Tyristrand	CAP	Single
Røros	Aamodt	Grundset – Rena	CAP	Single
Sørlandet	Randsfjorden (branch)	Hokksund – Kongsberg	CAP	Single
Drammen	—	Drammen – Oslo West	CAP	Single
Krøderen	—	Krøderen – Vikersund	CAP	Single
Røros	—	Rena – Koppang	CAP	Single
Røros	—	Singsås – Støren	CAP	Single
Røros	—	Røros – Singsås	CAP	Single
Røros	—	Koppang – Røros	CAP	Single
Sørlandet	Jæren	Stavanger – Egersund	CAP	Single
Østfold	Smaalenene	Oslo East – Moss – Halden	Standard	Single
Østfold	Smaalenene	Halden – Swedish border	Standard	Single
Dovre	Eidsvold–Hamar	Eidsvoll – Hamar	Standard	Single
Meråker	—	Trondheim – Swedish border	Standard	Single
Vestfold	Jarlsberg	Larvik – Drammen	CAP	Single
Horten	—	Skoppum – Horten	CAP	Single
Vestfold	Jarlsberg	Skien – Larvik	CAP	Single
Eastern Østfold	Smaalenene	Ski – Mysen – Sarpsborg	Standard	Single
Bergen	Voss	Bergen – Voss	CAP	Single
Dovre	Røros	Selsbakk – Trondheim	CAP	Single
Sulitjelma *	—	Sjønstå – Fossen	750 mm	Single
Sulitjelma *	—	Fossen – Hellarmo	750 mm	Single
Solør	Kongsvinger–Flisen	Kongsvinger – Flisa	Standard	Single
Nesttun–Os *	—	Osøren – Nesttun	750 mm	Single
Dovre	Hamar–Sel	Hamar – Tretten	Standard	Single
Brevik	—	Brevik – Eidanger	CAP	Single
Lillesand–Flaksvand *	—	Lillesand – Flaksvand	CAP	Single
Dovre	Hamar–Sel	Tretten – Otta	Standard	Single
Urskog–Høland	Høland	Bingfos – Bjørkelangen	750 mm	Single
Setesdal	—	Kristiansand – Bygelandsfjord	CAP	Single
Urskog–Høland *	—	Bjørkelangen – Skulerud	750 mm	Single
Gjøvik	North	Grefsen – Jaren	Standard	Single
Gjøvik	North	Jaren – Røykenvik	Standard	Single
Alnabru–Grefsen	North	Grefsen – Alnabru	Standard	Single
Tønsberg–Eidsfoss *	—	Tønsberg – Eidsfoss	CAP	Single
Nordland	Hell–Sunnan	Hell – Stjørdal	Standard	Single
Holmestrand–Vittingfoss *	—	Holmestrand – Vittingfoss	CAP	Single
Nordland	Hell–Sunnan	Stjørdal – Levanger	Standard	Single
Ofoten	—	Narvik – Swedish border	Standard	Single
Gjøvik	North	Oslo East – Grefsen	Standard	Single
Gjøvik	North	Jaren – Gjøvik	Standard	Single
Skreia	—	Reinsvoll – Skreia	Standard	Single
Valdres *	—	Eina – Dokka	Standard	Single
Valdres *	—	Dokka – Tonsåsen	Standard	Single
Urskog–Høland *	—	Sørumsand – Bingfos	750 mm	Single
Lier *	—	Lier – Svangerstrand	CAP	Single
Nordland	Hell–Sunnan	Levanger – Verdal	Standard	Single
Flekkefjord	—	Egersund – Flekkefjord	CAP	Single
Nordland *	Dunderland	Tverråsen – Storfoshei	Standard	Single
Valdres *	—	Tonsåsen – Aurdal	Standard	Single
Nordland	Hell–Sunnan	Verdal – Sunnan	Standard	Single
Valdres *	—	Aurdal – Fagernes	Standard	Single
Loenga–Alnabru	—	Loenga – Alnabru	Standard	Single
Grimstad *	—	Rise – Grimstad	CAP	Single
Oslo Port	—	Oslo West – Oslo East	Dual	Single
Bergen	—	Voss – Gulsvik	Standard	Single
Thamshavn *	—	Svorkmo – Thamshavn	Meter	Single
Rjukan *	—	Rjukan – Mæl	Standard	Single
Tinnoset *	—	Tinnoset – Notodden	Standard	Single
Bergen	—	Gulsvik – Roa	Standard	Single
Thamshavn *	—	Løkken – Svorkmo	Meter	Single
Kirkenes–Bjørnevatn *	—	Kirkenes – Bjørnevatn	Standard	Single
Solør	—	Flisa – Elverum	Standard	Single
Arendal	Arendal–Treungen	Arendal – Åmli	CAP	Single
Dovre	—	Otta – Dombås	Standard	Single
Arendal	Arendal–Treungen	Åmli – Treungen	CAP	Single
Sulitjelma *	—	Hellarmo – Fagerli	CAP	Single
Bratsberg	—	Eikonrød – Notodden	Standard	Single
Solbergfoss *	—	Askim – Solbergfoss	Standard	Single
Vestmarka	—	Skotterud – Vestmarka	Standard	Single
Sørlandet	—	Hjuksebø – Kongsberg	Standard	Single
Dovre	—	Dombås – Støren	Standard	Single
Sørlandet	—	Gvarv – Nordagutu	Standard	Single
Rauma	—	Dombås – Åndalsnes	Standard	Single
Sørlandet	—	Bø – Gvarv	Standard	Single
Ålgård	—	Ålgård – Ganddal	CAP	Single
Sørlandet	—	Lunde – Bø	Standard	Single
Sperillen	—	Hen – Sperillen	Standard	Single
Nordland	—	Sunnan – Snåsa	Standard	Single
