Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
2002	6	1	1	2	0	7.0	18.5	$717,942	46th	Chip Gannasi Racing
2003	36	0	5	13	1	18.9	18.6	$3,258,806	13th	Chip Ganassi Racing
2004	36	0	9	23	0	15.9	13.2	$4,676,311	11th	Chip Ganassi Racing
2005	36	0	4	10	1	21.4	16.8	$4,639,303	12th	Chip Ganassi Racing
2006	36	0	3	7	0	25.3	23.6	$5,241,224	25th	Roush Fenway Racing
2007	36	1	3	9	1	20.8	22.2	$4,459,863	17th	Roush Fenway Racing
2008	36	0	4	11	0	20.1	20.1	$4,749,606	16th	Roush Fenway Racing
2009	36	1	1	5	0	22.6	21.4	$4,247,389	22nd	Roush Fenway Racing
2010	36	3	9	12	4	13.4	16.4	$7,601,549	14th	Earnhardt Ganassi Racing
2011	36	0	2	4	1	17.8	22.2	$4,798,842	27th	Earnhardt Ganassi Racing
2012	36	0	0	3	0	21.3	20.1	$3,250,295	21st	Earnhardt Ganassi Racing
2013 *	32	1	4	8	1	16.9	15.8	$1,084,478	14th	Earnhardt Ganassi Racing
