Year	Venue	Location	Winning team	Score	U.S. Captain	International Captain
2013	Muirfield Village	Dublin, Ohio	United States	18½–15½	Fred Couples	Nick Price
2011	Royal Melbourne Golf Club	Melbourne , Australia	United States	19–15	Fred Couples	Greg Norman
2009	Harding Park Golf Club	San Francisco, California	United States	19½–14½	Fred Couples	Greg Norman
2007	Royal Montreal Golf Club	Montreal , Canada	United States	19½–14½	Jack Nicklaus	Gary Player
2005	Robert Trent Jones Golf Club	Gainesville, Virginia	United States	18½–15½	Jack Nicklaus	Gary Player
2003	Fancourt Hotel and Country Club	George, Western Cape , South Africa	Tied	17–17	Jack Nicklaus	Gary Player
2000	Robert Trent Jones Golf Club	Gainesville, Virginia	United States	21½–10½	Ken Venturi	Peter Thomson
1998	Royal Melbourne Golf Club	Melbourne , Australia	International	20½–11½	Jack Nicklaus	Peter Thomson
1996	Robert Trent Jones Golf Club	Gainesville, Virginia	United States	16½–15½	Arnold Palmer	Peter Thomson
1994	Robert Trent Jones Golf Club	Gainesville, Virginia	United States	20–12	Hale Irwin	David Graham
