Draw	Artist	Song	Points	Place
1	Monia Sjöström	"Nu idag"	11	11th
2	Photogenique	"Nattens änglar"	0	12th
3	Robert Randqvist	"Hand i hand"	55	5th
4	N-Mix	"Där en ängel hälsat på"	68	2nd
5	Jim Jidhed	"Charlie"	12	10th
6	Nick Borgen	"World Wide Web"	26	9th
7	Andreas Lundstedt	"Jag saknar dig, jag saknar dig"	32	7th
8	Garmarna	"En gång ska han gråta"	28	8th
9	B.I.G.	"Jag skall aldrig lämna dig"	40	6th
10	Wille Craaford	"Missarna"	65	3rd
11	Cajsalisa Ejemyr	" Du gör mig hel igen "	56	4th
12	Blond	" Bara hon älskar mig "	80	1st
