State	Preliminary Average	Interview	Swimsuit	Evening Gown	Semifinal Average
Florida	8.336 (6)	8.785 (4)	9.036 (1)	9.055 (5)	8.958 (4)
Tennessee	7.918 (10)	7.730 (8)	8.331 (8)	7.755 (9)	7.938 (8)
South Carolina	7.958 (9)	7.600 (9)	7.666 (10)	7.944 (8)	7.736 (10)
Mississippi	8.619 (3)	8.655 (5)	8.700 (5)	8.922 (6)	8.759 (5)
Oklahoma	8.697 (2)	8.255 (7)	8.555 (6)	9.255 (2)	8.688 (6)
Illinois	8.134 (7)	8.311 (6)	7.988 (9)	8.288 (7)	8.195 (7)
California	8.371 (5)	8.886 (3)	8.797 (4)	9.265 (1)	8.982 (2)
Maryland	8.121 (8)	7.155 (10)	8.500 (7)	7.622 (10)	7.759 (9)
Georgia	8.440 (4)	8.900 (2)	8.833 (2)	9.166 (3)	8.966 (3)
Texas	8.964 (1)	9.055 (1)	8.822 (3)	9.166 (3)	9.014 (1)
