Orchestra	Conductor	Record Company	Year of Recording	Format
London Symphony Orchestra	Antal Doráti	Mercury Records	1959	CD
Columbia Symphony Orchestra	Igor Stravinsky	Columbia Masterworks	1961	CD / LP
Royal Concertgebouw Orchestra	Colin Davis	Philips	1978	CD
Royal Danish Orchestra	Paul Jorgensen	Kultur	1982	DVD
Detroit Symphony Orchestra	Antal Doráti	Decca Records	1982	CD
Montreal Symphony Orchestra	Charles Dutoit	Decca Records	1984	CD
Seattle Symphony Orchestra	Gerard Schwarz	Delos Records	1992	CD
Chicago Symphony Orchestra	Pierre Boulez	Deutsche Grammophon	1993	CD
Kirov Orchestra	Valeri Gergiev	Philips Classics Records	1998	CD
Philharmonia Orchestra	Robert Craft	Koch Records / Naxos Records	1996	CD
Orchestre de Paris	Seiji Ozawa	EMI	1997	CD
San Francisco Symphony Orchestra	Michael Tilson Thomas	RCA	1998	CD
City of Birmingham Symphony Orchestra	Simon Rattle	EMI	2008	CD
Los Angeles Philharmonic Orchestra	Esa-Pekka Salonen	Deutsche Grammophon	2008	Digital download
