Municipality	Coakley votes	Coakley %	Brown votes	Brown %	Kennedy votes	Kennedy %	Total vote	Turnout %
Abington	2088	33.1%	4158	65.9%	61	1.0%	6307	60%
Acton	5371	57.5%	3896	41.7%	71	0.8%	9338	68%
Acushnet	1627	42.8%	2138	56.3%	34	0.9%	3799	51%
Adams	1650	68.1%	748	30.9%	26	1.1%	2424	40%
Agawam	3660	34.7%	6726	63.8%	158	1.5%	10544	51%
Alford	157	69.2%	68	30.0%	2	0.9%	227	58%
Amesbury	2543	41.7%	3480	57.1%	70	1.1%	6093	51%
Amherst	6547	84.0%	1180	15.1%	64	0.8%	7791	47%
Andover	5900	41.2%	8336	58.2%	80	0.6%	14316	64%
Aquinnah	149	77.6%	42	21.9%	1	0.5%	192	48%
Arlington	13284	65.5%	6845	33.7%	157	0.8%	20286	68%
Ashburnham	866	35.1%	1574	63.8%	27	1.1%	2467	58%
Ashby	475	33.0%	949	66.0%	14	1.0%	1438	60%
Ashfield	670	75.0%	212	23.7%	11	1.2%	893	69%
Ashland	2897	45.1%	3467	54.0%	60	0.9%	6424	61%
Athol	1171	35.0%	2105	62.9%	68	2.0%	3344	50%
Attleboro	4819	35.6%	8598	63.5%	116	0.9%	13533	53%
Auburn	2406	36.9%	4036	62.0%	72	1.1%	6514	56%
Avon	706	37.5%	1155	61.3%	22	1.2%	1883	62%
Ayer	989	39.6%	1467	58.8%	41	1.6%	2497	53%
Barnstable	7543	37.6%	12331	61.5%	179	0.9%	20053	65%
Barre	728	36.1%	1263	62.7%	23	1.1%	2014	58%
Becket	384	62.0%	225	36.3%	10	1.6%	619	49%
Bedford	2976	50.3%	2900	49.0%	46	0.8%	5922	64%
Belchertown	2629	48.4%	2749	50.6%	57	1.0%	5435	57%
Bellingham	2179	34.3%	4090	64.4%	78	1.2%	6347	61%
Belmont	6528	59.3%	4405	40.0%	76	0.7%	11009	67%
Berkley	746	31.2%	1614	67.6%	28	1.2%	2388	56%
Berlin	538	39.0%	825	59.7%	18	1.3%	1381	69%
Bernardston	445	52.9%	378	44.9%	19	2.3%	842	54%
Beverly	6735	44.0%	8400	54.9%	163	1.1%	15298	61%
Billerica	4972	33.8%	9583	65.1%	156	1.1%	14711	60%
Blackstone	1052	32.9%	2102	65.8%	40	1.3%	3194	53%
Blandford	196	35.6%	343	62.4%	11	2.0%	550	63%
Bolton	995	41.9%	1362	57.3%	18	0.8%	2375	74%
Boston	105289	68.7%	46468	30.3%	1513	1.0%	153270	43%
Bourne	2807	35.0%	5134	64.0%	76	0.9%	8017	61%
Boxborough	1141	50.7%	1087	48.3%	21	0.9%	2249	67%
Boxford	1239	30.3%	2837	69.3%	18	0.4%	4094	69%
Boylston	729	35.2%	1321	63.7%	23	1.1%	2073	67%
Braintree	5606	37.2%	9312	61.8%	155	1.0%	15073	61%
Brewster	2416	46.5%	2730	52.6%	46	0.9%	5192	64%
Bridgewater	2794	31.0%	6138	68.1%	85	0.9%	9017	58%
Brimfield	489	32.8%	995	66.7%	7	0.5%	1491	58%
Brockton	11761	54.4%	9634	44.6%	223	1.0%	21618	41%
Brookfield	430	33.8%	813	63.9%	29	2.3%	1272	55%
Brookline	15264	74.1%	5217	25.3%	108	0.5%	20589	49%
Buckland	522	65.4%	263	33.0%	13	1.6%	798	62%
Burlington	3658	39.1%	5640	60.3%	54	0.6%	9352	58%
Cambridge	27268	84.1%	4921	15.2%	232	0.7%	32421	54%
Canton	3787	39.3%	5770	59.9%	80	0.8%	9637	63%
Carlisle	1442	54.0%	1215	45.5%	13	0.5%	2670	73%
Carver	1611	33.0%	3222	66.0%	50	1.0%	4883	56%
Charlemont	278	60.0%	176	38.0%	9	1.9%	463	52%
Charlton	1271	26.6%	3458	72.4%	46	1.0%	4775	53%
Chatham	1488	40.3%	2179	59.0%	27	0.7%	3694	65%
Chelmsford	5688	37.3%	9417	61.8%	128	0.8%	15233	65%
Chelsea	2562	61.9%	1501	36.3%	73	1.8%	4136	37%
Cheshire	740	62.2%	436	36.7%	13	1.1%	1189	51%
Chester	194	39.0%	292	58.6%	12	2.4%	498	54%
Chesterfield	264	51.8%	242	47.5%	4	0.8%	510	59%
Chicopee	7043	44.8%	8339	53.1%	334	2.1%	15716	46%
Chilmark	364	70.7%	141	27.4%	10	1.9%	515	59%
Clarksburg	395	67.3%	186	31.7%	6	1.0%	587	52%
Clinton	1661	37.4%	2724	61.3%	59	1.3%	4444	47%
Cohasset	1419	37.0%	2401	62.6%	17	0.4%	3837	70%
Colrain	401	60.2%	249	37.4%	16	2.4%	666	56%
Concord	5445	62.1%	3271	37.3%	52	0.6%	8768	72%
Conway	685	69.0%	303	30.5%	5	0.5%	993	66%
Cummington	306	69.2%	130	29.4%	6	1.4%	442	68%
Dalton	1423	61.7%	845	36.7%	37	1.6%	2305	50%
Danvers	3651	36.2%	6347	62.9%	89	0.9%	10087	57%
Dartmouth	5110	46.4%	5812	52.7%	98	0.9%	11020	47%
Dedham	4647	43.1%	5979	55.5%	147	1.4%	10773	65%
Deerfield	1482	62.5%	853	36.0%	36	1.5%	2371	63%
Dennis	3131	41.4%	4358	57.6%	76	1.0%	7565	65%
Dighton	829	31.6%	1770	67.5%	24	0.9%	2623	57%
Douglas	840	25.4%	2440	73.7%	31	0.9%	3311	54%
Dover	1058	35.8%	1888	63.8%	13	0.4%	2959	75%
Dracut	3166	29.0%	7658	70.2%	87	0.8%	10911	55%
Dudley	1125	30.6%	2515	68.4%	39	1.1%	3679	53%
Dunstable	502	33.8%	968	65.2%	14	0.9%	1484	69%
Duxbury	2674	34.7%	4982	64.7%	44	0.6%	7700	70%
East Bridgewater	1583	28.9%	3849	70.4%	39	0.7%	5471	60%
East Brookfield	245	27.3%	645	71.7%	9	1.0%	899	60%
Eastham	1540	50.7%	1473	48.5%	25	0.8%	3038	71%
Easthampton	3708	58.9%	2493	39.6%	91	1.4%	6292	56%
East Longmeadow	2091	32.5%	4294	66.6%	58	0.9%	6443	58%
Easton	3350	35.9%	5931	63.5%	59	0.6%	9340	61%
Edgartown	1002	55.8%	771	42.9%	24	1.3%	1797	57%
Egremont	445	71.8%	172	27.7%	3	0.5%	620	65%
Erving	296	57.8%	208	40.6%	8	1.6%	512	47%
Essex	685	39.7%	1023	59.3%	17	1.0%	1725	63%
Everett	4245	52.0%	3798	46.5%	123	1.5%	8166	44%
Fairhaven	2834	47.6%	3045	51.2%	69	1.2%	5948	54%
Fall River	10341	56.9%	7489	41.2%	343	1.9%	18173	38%
Falmouth	7133	46.6%	8041	52.5%	128	0.8%	15302	59%
Fitchburg	3783	40.0%	5574	58.9%	104	1.1%	9461	46%
Florida	144	52.9%	125	46.0%	3	1.1%	272	49%
Foxborough	2465	33.6%	4821	65.7%	57	0.8%	7343	65%
Framingham	10329	52.6%	9149	46.6%	160	0.8%	19638	58%
Franklin	4470	33.3%	8828	65.8%	110	0.8%	13408	67%
Freetown	1189	34.5%	2220	64.5%	34	1.0%	3443	55%
Gardner	2441	42.0%	3271	56.2%	105	1.8%	5817	52%
Georgetown	1239	34.7%	2311	64.6%	25	0.7%	3575	61%
Gill	398	62.2%	226	35.3%	16	2.5%	640	60%
Gloucester	5553	49.6%	5522	49.3%	121	1.1%	11196	56%
Goshen	244	53.0%	204	44.3%	12	2.6%	460	64%
Gosnold	18	38.3%	29	61.7%	0	0.0%	47	34%
Grafton	2442	35.5%	4372	63.6%	59	0.9%	6873	60%
Granby	1044	40.4%	1512	58.5%	27	1.0%	2583	57%
Granville	207	30.2%	472	68.9%	6	0.9%	685	60%
Great Barrington	2025	76.7%	591	22.4%	25	0.9%	2641	57%
Greenfield	3835	64.6%	1992	33.6%	109	1.8%	5936	53%
Groton	2132	44.2%	2663	55.2%	29	0.6%	4824	67%
Groveland	991	33.0%	1980	66.0%	28	0.9%	2999	62%
Hadley	1407	59.3%	936	39.5%	29	1.2%	2372	63%
Halifax	992	31.2%	2147	67.5%	42	1.3%	3181	57%
Hamilton	1381	37.1%	2319	62.2%	27	0.7%	3727	65%
Hampden	754	32.9%	1511	65.9%	27	1.2%	2292	65%
Hancock	158	57.0%	118	42.6%	1	0.4%	277	54%
Hanover	1895	28.4%	4731	71.0%	35	0.5%	6661	71%
Hanson	1254	28.8%	3067	70.4%	35	0.8%	4356	65%
Hardwick	377	38.6%	586	60.0%	14	1.4%	977	55%
Harvard	1568	54.1%	1305	45.1%	23	0.8%	2896	71%
Harwich	2635	41.9%	3597	57.2%	51	0.8%	6283	62%
Hatfield	875	56.2%	652	41.9%	29	1.9%	1556	62%
Haverhill	7259	39.2%	11069	59.7%	202	1.1%	18530	45%
Hawley	63	48.1%	63	48.1%	5	3.8%	131	58%
Heath	203	61.9%	123	37.5%	2	0.6%	328	62%
Hingham	4416	39.2%	6800	60.3%	53	0.5%	11269	72%
Hinsdale	415	58.5%	285	40.1%	10	1.4%	710	50%
Holbrook	1527	38.5%	2402	60.5%	41	1.0%	3970	57%
Holden	2864	34.4%	5396	64.7%	74	0.9%	8334	68%
Holland	299	31.9%	631	67.3%	8	0.9%	938	51%
Holliston	2921	43.7%	3725	55.8%	35	0.5%	6681	68%
Holyoke	4869	55.3%	3771	42.8%	169	1.9%	8809	36%
Hopedale	997	37.7%	1619	61.2%	30	1.1%	2646	67%
Hopkinton	2600	38.5%	4123	61.0%	35	0.5%	6758	71%
Hubbardston	607	30.0%	1388	68.5%	30	1.5%	2025	67%
Hudson	3068	41.8%	4181	57.0%	90	1.2%	7339	58%
Hull	2037	45.4%	2409	53.7%	44	1.0%	4490	58%
Huntington	346	41.2%	467	55.7%	26	3.1%	839	60%
Ipswich	2604	41.6%	3604	57.6%	45	0.7%	6253	62%
Kingston	1701	32.0%	3576	67.4%	31	0.6%	5308	63%
Lakeville	1259	27.7%	3248	71.4%	44	1.0%	4551	62%
Lancaster	1012	34.9%	1860	64.2%	25	0.9%	2897	63%
Lanesborough	654	61.5%	399	37.5%	11	1.0%	1064	48%
Lawrence	6449	65.3%	3331	33.7%	98	1.0%	9878	28%
Lee	1272	63.9%	704	35.3%	16	0.8%	1992	50%
Leicester	1320	32.6%	2682	66.1%	53	1.3%	1992	56%
Lenox	1532	71.7%	594	27.8%	12	0.6%	2138	57%
Leominster	4707	36.3%	8127	62.6%	141	1.1%	12975	47%
Leverett	779	81.9%	164	17.2%	8	0.8%	951	68%
Lexington	9375	65.0%	4953	34.4%	85	0.6%	14413	68%
Leyden	211	64.1%	116	35.3%	2	0.6%	329	57%
Lincoln	1928	67.9%	899	31.6%	14	0.5%	2841	66%
Littleton	1859	43.5%	2389	55.9%	22	0.5%	4270	69%
Longmeadow	3158	42.7%	4196	56.7%	47	0.6%	7401	63%
Lowell	9547	46.8%	10548	51.7%	302	1.5%	20397	38%
Ludlow	2768	39.5%	4159	59.3%	86	1.2%	7013	51%
Lunenburg	1530	34.3%	2890	64.8%	43	1.0%	4463	62%
Lynn	9791	52.7%	8595	46.2%	203	1.1%	18589	38%
Lynnfield	1620	28.6%	4010	70.8%	37	0.7%	5667	64%
Malden	7794	56.0%	5945	42.7%	186	1.3%	13925	48%
Manchester	1189	44.1%	1494	55.4%	12	0.4%	2695	70%
Mansfield	3045	33.8%	5909	65.5%	65	0.7%	9019	63%
Marblehead	4657	46.5%	5285	52.8%	64	0.6%	10006	69%
Marion	1002	42.6%	1332	56.7%	17	0.7%	2351	64%
Marlborough	5037	42.0%	6817	56.9%	128	1.1%	11982	59%
Marshfield	3895	33.4%	7677	65.8%	91	0.8%	11663	66%
Mashpee	2313	37.3%	3835	61.8%	60	1.0%	6208	61%
Mattapoisett	1317	41.4%	1834	57.7%	27	0.8%	3178	65%
Maynard	2231	51.1%	2131	48.8%	2	0.0%	4364	60%
Medfield	2276	37.0%	3842	62.4%	40	0.6%	6158	74%
Medford	11415	57.1%	8381	41.9%	206	1.0%	20002	57%
Medway	2044	35.7%	3641	63.6%	38	0.7%	5723	64%
Melrose	5861	48.7%	6085	50.6%	91	0.8%	12037	64%
Mendon	792	30.9%	1750	68.3%	19	0.7%	2561	62%
Merrimac	1042	38.2%	1651	60.5%	37	1.4%	2730	62%
Methuen	4837	34.2%	9171	64.9%	117	0.8%	14125	49%
Middleborough	2615	29.6%	6158	69.6%	76	0.9%	8849	57%
Middlefield	126	51.9%	113	46.5%	4	1.6%	243	68%
Middleton	1081	30.7%	2412	68.6%	23	0.7%	3516	64%
Milford	3561	39.2%	5432	59.8%	88	1.0%	9081	55%
Millbury	1655	34.3%	3125	64.7%	49	1.0%	4829	56%
Millis	1383	36.0%	2430	63.2%	31	0.8%	3844	72%
Millville	323	28.4%	799	70.3%	14	1.2%	1136	59%
Milton	6436	50.0%	6347	49.3%	86	0.7%	12869	70%
Monroe	20	50.0%	19	47.5%	1	2.5%	40	56%
Monson	1258	38.8%	1933	59.6%	53	1.6%	3244	57%
