Heat	Lane	Name	Country	Mark
1	5	Dmitriy Bogdanov	Russia	1:46.83
1	2	Yusuf Saad Kamel	Bahrain	1:46.88 PB
1	4	Khadevis Robinson	United States	1:47.57
1	3	Richard Hill	United Kingdom	1:47.82
1	6	Manuel Olmedo	Spain	1:48.90
1	1	Fabiano Peçanha	Brazil	1:49.63
2	1	Mbulaeni Mulaudzi	South Africa	1:47.39 SB
2	5	Abubaker Kaki Khamis	Sudan	1:47.41
2	2	Robert Lathouwers	Netherlands	1:48.27 PB
2	4	Abraham Chepkirwok	Uganda	1:48.30
2	6	Mattias Claesson	Sweden	1:48.50
2	3	Jozef Repcik	Slovakia	1:48.61
3	5	Nick Symmonds	United States	1:48.43
3	4	Dmitrijs Milkevics	Latvia	1:48.80
3	3	Eugenio Barrios	Spain	1:49.02
3	6	Ehsan Mohajer Shojaei	Iran	1:49.32
3	1	Abdoulaye Wagne	Senegal	1:49.49
3	2	Lukas Rifeser	Italy	1:51.20
