Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 9, 2001	New Orleans Saints	L 6–24	0–1	Ralph Wilson Stadium	71,447
2	September 23, 2001	at Indianapolis Colts	L 26–42	0–2	RCA Dome	56,135
3	September 30, 2001	Pittsburgh Steelers	L 3–20	0–3	Ralph Wilson Stadium	72,874
4	October 7, 2001	New York Jets	L 36–42	0–4	Ralph Wilson Stadium	72,654
5	Bye	Bye	Bye	Bye	Bye	Bye
6	October 18, 2001	at Jacksonville Jaguars	W 13–10	1–4	Alltel Stadium	58,893
7	October 28, 2001	at San Diego Chargers	L 24–27	1–5	Qualcomm Stadium	63,698
8	November 4, 2001	Indianapolis Colts	L 14–30	1–6	Ralph Wilson Stadium	63,786
9	November 11, 2001	at New England Patriots	L 11–21	1–7	Foxboro Stadium	60,292
10	November 18, 2001	Seattle Seahawks	L 20–23	1–8	Ralph Wilson Stadium	60,836
11	November 25, 2001	Miami Dolphins	L 27–34	1–9	Ralph Wilson Stadium	73,063
12	December 2, 2001	at San Francisco 49ers	L 0–35	1–10	3Com Park	67,252
13	December 9, 2001	Carolina Panthers	W 25–24	2–10	Ralph Wilson Stadium	44,549
14	December 16, 2001	New England Patriots	L 9–12	2–11	Ralph Wilson Stadium	45,527
15	December 23, 2001	at Atlanta Falcons	L 30–33	2–12	Georgia Dome	43,320
16	December 30, 2001	at New York Jets	W 14–9	3–12	The Meadowlands	78,200
17	January 6, 2002	at Miami Dolphins	L 7–34	3–13	Pro Player Stadium	73,428
