Game	December	Opponent	Score	Record	Points
23	1	Pittsburgh Penguins	3–1	15–4–4	34
24	3	@ New York Rangers	6–2	16–4–4	36
25	6	Quebec Nordiques	1–1 OT	16–4–5	37
26	8	New York Rangers	4–2	17–4–5	39
27	11	@ Winnipeg Jets	4–5 OT	17–5–5	39
28	12	@ Toronto Maple Leafs	3–6	17–6–5	39
29	15	@ New York Islanders	2–6	17–7–5	39
30	16	Montreal Canadiens	2–3	17–8–5	39
31	20	New Jersey Devils	8–4	18–8–5	41
32	21	@ Pittsburgh Penguins	2–4	18–9–5	41
33	23	Washington Capitals	7–4	19–9–5	43
34	26	@ Washington Capitals	0–6	19–10–5	43
35	28	@ Vancouver Canucks	7–4	20–10–5	45
36	30	@ Los Angeles Kings	3–2	21–10–5	47
