Representative	Years	State	Party	Lifespan
Summers Melville Jack	1899–1903	Pennsylvania	Republican	1852–1945
William Jack	1841–1843	Pennsylvania	Democratic	1788–1852
Alfred Metcalf Jackson	1901–1903	Kansas	Democratic	1860–1924
Amos H. Jackson	1903–1905	Ohio	Republican	1846–1924
Andrew Jackson	1796–1797	Tennessee	Democratic-Republican	1767–1845
David S. Jackson	1847–1848	New York	Democratic	1813–1872
Donald L. Jackson	1947–1961	California	Republican	1910–1981
Ebenezer Jackson, Jr.	1834–1835	Connecticut	National Republican	1796–1874
Edward B. Jackson	1820–1823	Virginia	Democratic-Republican	1793–1826
Fred S. Jackson	1911–1913	Kansas	Republican	1868–1931
George Jackson	1795–1797 1799–1803	Virginia	Democratic-Republican	1757–1831
Henry M. Jackson	1941–1953	Washington	Democratic	1912–1983
Jabez Young Jackson	1835–1839	Georgia	Democratic	1790–1839
James Jackson	1789–1791	Georgia	Anti-Administration	1757–1806
James Jackson	1857–1861	Georgia	Democratic	1819–1887
James M. Jackson	1889–1890	West Virginia	Democratic	1825–1901
James S. Jackson	1861	Kentucky	Unionist	1823–1862
John G. Jackson	1803–1810 1813–1817	Virginia	Democratic-Republican	1777–1825
Joseph Webber Jackson	1850–1851	Georgia	Democratic	1796–1854
Joseph Webber Jackson	1851–1853	Georgia	States Rights	1796–1854
Oscar Lawrence Jackson	1885–1889	Pennsylvania	Republican	1840–1920
Richard Jackson, Jr.	1808–1815	Rhode Island	Federalist	1764–1838
Thomas B. Jackson	1837–1841	New York	Democratic	1797–1881
William Jackson	1833–1837	Massachusetts	Anti-Masonic	1783–1855
William Humphreys Jackson	1901–1905 1907–1909	Maryland	Republican	1839–1915
William Terry Jackson	1849–1851	New York	Whig	1794–1882
Andrew Jacobs	1949–1951	Indiana	Democratic	1906–1992
Andrew Jacobs, Jr.	1965–1973 1975–1997	Indiana	Democratic	1932–
Ferris Jacobs, Jr.	1881–1883	New York	Republican	1836–1886
Israel Jacobs	1791–1793	Pennsylvania	Pro-Administration	1726–1796
Bernhard M. Jacobsen	1931–1936	Iowa	Democratic	1862–1936
William S. Jacobsen	1937–1943	Iowa	Democratic	1887–1955
Meyer Jacobstein	1923–1929	New York	Democratic	1880–1963
Henderson M. Jacoway	1911–1923	Arkansas	Democratic	1870–1947
Cornelius Comegys Jadwin	1881–1883	Pennsylvania	Republican	1835–1913
Addison James	1907–1909	Kentucky	Republican	1850–1947
Amaziah B. James	1877–1881	New York	Republican	1812–1883
Benjamin F. James	1949–1959	Pennsylvania	Republican	1885–1961
Craig T. James	1989–1993	Florida	Republican	1941–
Darwin R. James	1883–1887	New York	Republican	1834–1908
Francis James	1839–1841	Pennsylvania	Anti-Masonic	1799–1886
Francis James	1841–1843	Pennsylvania	Whig	1799–1886
Hinton James	1930–1931	North Carolina	Democratic	1884–1948
Ollie M. James	1903–1913	Kentucky	Democratic	1871–1918
Rorer A. James	1920–1921	Virginia	Democratic	1859–1921
W. Frank James	1915–1935	Michigan	Republican	1873–1945
John Jameson	1839–1841 1843–1845 1847–1849	Missouri	Democratic	1802–1857
William Darius Jamieson	1909–1911	Iowa	Democratic	1873–1949
Henry Fisk Janes	1834–1837	Vermont	Anti-Masonic	1792–1879
Bill Janklow	2003–2004	South Dakota	Republican	1939–2012
John Jarman	1951–1975	Oklahoma	Democratic	1915–1982
John Jarman	1975–1977	Oklahoma	Republican	1915–1982
Pete Jarman	1937–1949	Alabama	Democratic	1892–1955
Benjamin Jarrett	1937–1943	Pennsylvania	Republican	1881–1944
Leonard Jarvis	1829–1837	Maine	Democratic	1781–1854
Jacob K. Javits	1947–1954	New York	Republican	1904–1986
Albert W. Jefferis	1919–1923	Nebraska	Republican	1868–1942
Lamar Jeffers	1921–1935	Alabama	Democratic	1888–1983
William J. Jefferson	1991–2009	Louisiana	Democratic	1947–
Elza Jeffords	1883–1885	Mississippi	Republican	1826–1885
Jim Jeffords	1975–1989	Vermont	Republican	1934–
Harry P. Jeffrey	1943–1945	Ohio	Republican	1901–1997
James Edmund Jeffries	1979–1983	Kansas	Republican	1925–1997
