Player	No.	Nationality	Position	Years in Orlando	School/Club Team
J. J. Redick	7	United States	Guard	2006–2013	Duke
Don Reid	52	United States	Forward	2000–2002	Georgetown
Jerry Reynolds	35	United States	Guard-Forward	1989–1992	Louisiana State
Jason Richardson	23	United States	Guard	2010–2012	Michigan State
Jeremy Richardson	32	United States	Forward	2008–2009	Delta State
Quentin Richardson	5	United States	Forward	2010–2012	DePaul
Stanley Roberts	53	United States	Center	1991–1992	Louisiana State
James Robinson	26	United States	Guard	2000–2001	Alabama
Wayne 'Tree' Rollins	30	United States	Center	1993–1995	Clemson
Sean Rooks	45	United States	Center	2004	Arizona
Donald Royal	5	United States	Forward	1992–1996	Notre Dame
