Frequency	Station	Operator	Country of origin	Transmitter location	Format
5.965MHz (SW)	Radio Klasik	RTM	Malaysia	IBC , Malaysia	News and Music
15420kHz (SW)	Radio Free Sarawak	RFS	Malaysia	Unknown	News and Music
1242kHz	Voice of Vietnam	VOV	Vietnam	Can Tho , Vietnam	News and Music
1575kHz	Voice of America	VOA	United States of America	Bangkok , Thailand	News and Music
891kHz 981kHz	Sor. Wor. Thor	RTWS	Thailand	Saraburi (891) and Yala (981), Thailand	Talk , Music and News
684kHz	China Radio International	CRI	China	Hainan , China	News
918kHz	Radio Thailand Network Six	RTWS	Thailand	Bangkok , Thailand	News , Music
873kHz	Voice of Vietnam 4	VOV	Vietnam	Can Tho , Vietnam	Talks and Music
603kHz	China Radio International	CRI	China	Hainan , China	News
1503kHz	Radio Taiwan International	RTI	Taiwan	Fangliao , Taiwan	News
