District	Incumbent	Party	First elected	Results	Candidates
Pennsylvania 1	Bob Brady	Democratic	1998	Re-elected	Bob Brady (D) 88% Steven Kush (R) 12%
Pennsylvania 2	Chaka Fattah	Democratic	1994	Re-elected	Chaka Fattah (D) 99%
Pennsylvania 3	Robert Borski	Democratic	1982	Re-elected	Robert Borski (D) 69% Charles Dougherty (R) 31%
Pennsylvania 4	Ron Klink	Democratic	1992	Retired to run for U.S. Senate Republican gain	Melissa Hart (R) 59% Terry Van Horne (D) 41%
Pennsylvania 6	Tim Holden	Democratic	1992	Re-elected	Tim Holden (D) 67% Thomas Kopel (R) 33%
Pennsylvania 7	Curt Weldon	Republican	1986	Re-elected	Curt Weldon (R) 65% Peter Lennon (D) 35%
Pennsylvania 8	Jim Greenwood	Republican	1992	Re-elected	Jim Greenwood (R) 60% Ronald Strouse (D) 39%
Pennsylvania 9	Bud Shuster	Republican	1972	Re-elected	Bud Shuster (R) unopposed
Pennsylvania 10	Don Sherwood	Republican	1998	Re-elected	Don Sherwood (R) 53% Patrick Casey (D) 47%
Pennsylvania 11	Paul Kanjorski	Democratic	1984	Re-elected	Paul Kanjorski (D) 66% Stephen Urban (R) 34%
Pennsylvania 12	John Murtha	Democratic	1974	Re-elected	John Murtha (D) 71% Bill Choby (R) 28%
Pennsylvania 13	Joe Hoeffel	Democratic	1998	Re-elected	Joe Hoeffel (D) 53% Stewart Greenleaf (R) 46%
Pennsylvania 14	William Coyne	Democratic	1980	Re-elected	William Coyne (D) unopposed
Pennsylvania 15	Pat Toomey	Republican	1998	Re-elected	Pat Toomey (R) 53% Ed O'Brien (D) 47%
Pennsylvania 16	Joe Pitts	Republican	1996	Re-elected	Joe Pitts (R) 67% Robert Yorczyk (D) 33%
Pennsylvania 17	George Gekas	Republican	1982	Re-elected	George Gekas (R) 72% Leslye Hess Herrmann (D) 28%
Pennsylvania 18	Mike Doyle	Democratic	1994	Re-elected	Mike Doyle (D) 69% Craig Stephens (R) 31%
Pennsylvania 19	Bill Goodling	Republican	1974	Retired Republican hold	Todd Platts (R) 73% Jeff Sanders (D) 27%
Pennsylvania 20	Frank Mascara	Democratic	1994	Re-elected	Frank Mascara (D) 64% Ronald Davis (R) 36%
