Week	Date	Opponent	Result	Attendance
1	September 10, 1989	Los Angeles Rams	L 31-21	38,708
2	September 17, 1989	Dallas Cowboys	W 27-21	55,285
3	September 24, 1989	at Indianapolis Colts	L 13-9	57,816
4	October 1, 1989	at Green Bay Packers	L 23-21	54,647
5	October 8, 1989	at Los Angeles Rams	L 26-14	52,182
6	October 15, 1989	New England Patriots	W 16-15	39,697
7	October 22, 1989	at Phoenix Cardinals	L 34-20	33,894
8	October 29, 1989	at New Orleans Saints	L 20-13	65,153
9	November 5, 1989	Buffalo Bills	W 30-28	45,267
10	November 12, 1989	at San Francisco 49ers	L 45-3	59,914
11	November 19, 1989	New Orleans Saints	L 26-17	53,173
12	November 26, 1989	at New York Jets	L 27-7	40,429
13	December 3, 1989	San Francisco 49ers	L 23-10	43,128
14	December 10, 1989	at Minnesota Vikings	L 43-17	58,116
15	December 17, 1989	Washington Redskins	L 31-30	37,501
16	December 24, 1989	Detroit Lions	L 31-24	7,792
