Week	Date	Opponent	Result	Attendance
1	September 9, 1962	New York Titans	L 28–17	12,893
2	September 23, 1962	Dallas Texans	L 26–16	12,500
3	September 30, 1962	San Diego Chargers	L 42–33	13,000
4	October 5, 1962	at Denver Broncos	L 44–7	22,452
5	October 14, 1962	Denver Broncos	L 23–6	7,000
6	October 20, 1962	at Buffalo Bills	L 14–6	21,037
7	October 26, 1962	at Boston Patriots	L 26–16	12,514
8	November 4, 1962	at New York Titans	L 31–21	18,247
9	November 11, 1962	Houston Oilers	L 28–20	11,000
10	November 18, 1962	Buffalo Bills	L 10–6	12,500
11	November 25, 1962	at Dallas Texans	L 35–7	13,557
12	December 2, 1962	at San Diego Chargers	L 31–21	17,874
13	December 9, 1962	at Houston Oilers	L 32–17	27,400
14	December 16, 1962	Boston Patriots	W 20–0	8,000
