Game	Date	Opponent	Result	Team points	Opponent score	Record	Streak
1	November 1	vs Sacramento	Win	96	85	1-0	Won 1
2	November 2	at Phoenix	Win	110	95	2-0	Won 2
3	November 4	at Utah	Win	75	72	3-0	Won 3
4	November 5	at Sacramento	Win	102	80	4-0	Won 4
5	November 7	at Denver	Win	110	108	5-0	Won 5
6	November 9	vs Utah	Win	91	85	6-0	Won 6
7	November 12	vs LA Lakers	Loss	115	126	6-1	Lost 1
8	November 14	vs Indiana	Win	90	88	7-1	Won 1
9	November 16	vs Golden State	Win	115	103	8-1	Won 2
10	November 19	vs Minnesota	Win	122	93	9-1	Won 3
11	November 21	vs Phoenix	Win	115	105	10-1	Won 4
12	November 23	at Golden State	Win	120	115	11-1	Won 5
13	November 24	at LA Lakers	Win	90	85	12-1	Won 6
14	November 26	vs Portland	Win	102	101	13-1	Won 7
15	November 29	at Boston	Win	120	94	14-1	Won 8
16	November 30	at Washington	Win	103	99	15-1	Won 9
17	December 2	at Toronto	Loss	89	100	15-2	Lost 1
18	December 4	vs Boston	Win	94	89	16-2	Won 1
19	December 7	vs Philadelphia	Win	123	108	17-2	Won 2
20	December 10	at Minnesota	Win	96	94	18-2	Won 3
21	December 12	vs Detroit	Win	115	96	19-2	Won 4
22	December 14	at Seattle	Win	109	100	20-2	Won 5
23	December 15	at Portland	Win	99	89	21-2	Won 6
24	December 17	at Vancouver	Loss	92	93	21-3	Lost 1
25	December 19	vs San Antonio	Loss	101	115	21-4	Lost 2
26	December 21	vs Miami	Loss	66	86	21-5	Lost 3
27	December 23	vs Milwaukee	Loss	76	81	21-6	Lost 4
28	December 26	at Milwaukee	Win	101	90	22-6	Won 1
29	December 28	vs Golden State	Win	104	95	23-6	Won 2
30	December 30	vs Seattle	Win	99	91	24-6	Won 3
31	January 2	vs Portland	Loss	96	112	24-7	Lost 1
32	January 4	vs LA Clippers	Loss	91	95	24-8	Lost 2
33	January 7	at Minnesota	Win	104	95	25-8	Won 1
34	January 8	at Cleveland	Win	81	78	26-8	Won 2
35	January 10	at Philadelphia	Win	120	99	27-8	Won 3
36	January 11	at Chicago	Loss	86	110	27-9	Lost 1
37	January 14	vs New York	Win	106	86	28-9	Won 1
38	January 16	vs Sacramento	Win	89	80	29-9	Won 2
39	January 17	at Dallas	Win	88	78	30-9	Won 3
40	January 19	vs Chicago	Win	102	86	31-9	Won 4
41	January 21	at Charlotte	Loss	108	114	31-10	Lost 1
42	January 23	vs New Jersey	Win	111	104	32-10	Won 1
43	January 25	vs Utah	Loss	100	105	32-11	Lost 1
44	January 30	vs Denver	Loss	109	113	32-12	Lost 2
45	January 31	at Indiana	Loss	74	100	32-13	Lost 3
46	February 2	at Orlando	Loss	90	103	32-14	Lost 4
47	February 4	at New York	Loss	95	99	32-15	Lost 5
48	February 6	at Detroit	Loss	87	96	32-16	Lost 6
49	February 11	vs Vancouver	Win	106	97	33-16	Won 1
50	February 14	at Seattle	Loss	85	105	33-17	Lost 1
51	February 15	at Portland	Loss	105	109	33-18	Lost 2
52	February 17	vs Atlanta	Win	127	98	34-18	Won 1
53	February 20	vs Toronto	Win	107	97	35-18	Won 2
54	February 21	at Atlanta	Loss	74	76	35-19	Lost 1
55	February 23	vs San Antonio	Win	95	85	36-19	Won 1
56	February 25	vs LA Lakers	Win	100	96	37-19	Won 2
57	February 27	vs Charlotte	Loss	95	106	37-20	Lost 1
58	March 1	vs Dallas	Win	89	80	38-20	Won 1
59	March 4	at LA Clippers	Win	113	109	39-20	Won 2
60	March 5	at Golden State	Win	90	85	40-20	Won 3
61	March 7	at LA Lakers	Win	111	90	41-20	Won 4
62	March 9	at Dallas	Win	88	83	42-20	Won 5
63	March 11	at San Antonio	Win	103	79	43-20	Won 6
64	March 12	vs Orlando	Loss	95	96	43-21	Lost 1
65	March 16	at Miami	Loss	80	101	43-22	Lost 2
66	March 18	at New Jersey	Win	97	89	44-22	Won 1
67	March 20	vs Washington	Win	96	90	45-22	Won 2
68	March 22	vs Phoenix	Loss	99	104	45-23	Lost 1
69	March 25	vs Minnesota	Win	112	103	46-23	Won 1
70	March 27	vs Cleveland	Win	107	89	47-23	Won 2
71	March 29	vs Denver	Win	120	105	48-23	Won 3
72	April 1	at Denver	Win	116	99	49-23	Won 4
73	April 2	at Phoenix	Loss	96	109	49-24	Lost 1
74	April 4	at Sacramento	Win	108	94	50-24	Won 1
75	April 6	at Vancouver	Win	94	85	51-24	Won 2
76	April 8	at LA Clippers	Win	127	117	52-24	Won 3
77	April 10	vs Vancouver	Win	102	94	53-24	Won 4
78	April 11	at Utah	Loss	83	104	53-25	Lost 1
79	April 13	vs Seattle	Win	113	73	54-25	Won 1
80	April 15	vs LA Clippers	Win	123	119	55-25	Won 2
81	April 18	vs Dallas	Win	112	102	56-25	Won 3
82	April 20	at San Antonio	Win	103	99	57-25	Won 4
