Date	Visitor	Score	Home	Record
December 3	Calgary	2 – 5	Detroit	15–9–3
December 6	NY Rangers	5 – 6	Detroit	16–9–3
December 7	Detroit	2 – 2	New Jersey	16–9–4
December 10	Chicago	3 – 5	Detroit	17–9–4
December 12	Quebec	1 – 4	Detroit	18–9–4
December 14	Detroit	4 – 3	Calgary	19–9–4
December 15	Detroit	4 – 1	Edmonton	20–9–4
December 17	Detroit	1 – 2	Vancouver	20–10–4
December 21	Detroit	5 – 2	Los Angeles	21–10–4
December 28	Detroit	5 – 4	Toronto	22–10–4
December 29	Detroit	6 – 4	Chicago	23–10–4
December 31	Boston	5 – 3	Detroit	23–11–4
