Rank:	Premier:	Party:	Assumed Office:	Left Office:	TOTAL Time in Office:
1.	Sir Henry Parkes	Liberalism	14 May 1872	8 February 1875	11 years, 278 days
1.	Sir Henry Parkes	Liberalism	22 March 1877	16 August 1877	11 years, 278 days
1.	Sir Henry Parkes	Liberalism	21 December 1878	4 January 1883	11 years, 278 days
1.	Sir Henry Parkes	Free Trade	25 January 1887	16 January 1889	11 years, 278 days
1.	Sir Henry Parkes	Free Trade	8 March 1889	23 October 1891	11 years, 278 days
2.	Bob Carr	Labor	4 April 1995	3 August 2005	10years, 121days
3.	Neville Wran	Labor	14 May 1976	4 July 1986	10years, 51days
4.	Sir Robert Askin	Liberal	13 May 1965	3 January 1975	9years, 235days
5.	Joseph Cahill	Labor	2 April 1952	22 October 1959	7years, 204days
6.	Sir Bertram Stevens	United Australia	16 May 1932	4 August 1939	7years, 80days
7.	Sir Charles Cowper	Liberalism	26 August 1856	2 October 1856	6 years, 352 days
7.	Sir Charles Cowper	Liberalism	7 September 1857	26 October 1859	6 years, 352 days
7.	Sir Charles Cowper	Liberalism	10 January 1861	15 October 1863	6 years, 352 days
7.	Sir Charles Cowper	Liberalism	3 February 1865	21 January 1866	6 years, 352 days
7.	Sir Charles Cowper	Liberalism	13 January 1870	15 December 1870	6 years, 352 days
8.	William Holman	Labor	30 June 1913	15 November 1916	6years, 287days
8.	William Holman	Nationalist	15 November 1916	12 April 1920	6years, 287days
9.	Sir William McKell	Labor	16 May 1941	6 February 1947	5years, 266days
10.	Sir James Martin	No Party Alignment	16 October 1863	2 February 1865	5 years, 171 days
10.	Sir James Martin	No Party Alignment	22 January 1866	26 October 1868	5 years, 171 days
10.	Sir James Martin	No Party Alignment	16 December 1870	13 May 1872	5 years, 171 days
11.	James McGirr	Labor	6 February 1947	2 April 1952	5years, 56days
12.	Sir George Reid	Free Trade	3 August 1894	13 September 1899	5years, 41days
13.	Sir John Robertson	Liberalism	9 March 1860	9 January 1861	4 years, 242 days
13.	Sir John Robertson	Liberalism	27 October 1868	12 January 1870	4 years, 242 days
13.	Sir John Robertson	Liberalism	9 February 1875	21 March 1877	4 years, 242 days
13.	Sir John Robertson	Liberalism	17 August 1877	17 December 1877	4 years, 242 days
13.	Sir John Robertson	Liberalism	22 December 1885	22 February 1886	4 years, 242 days
14.	Bob Heffron	Labor	23 October 1959	30 April 1964	4years, 190days
15.	Nick Greiner	Liberal	25 March 1988	24 June 1992	4years, 91days
16.	Jack Lang	Labor aka Lang Labor	17 June 1925	18 October 1927	3 years, 314 days
16.	Jack Lang	Labor aka Lang Labor	4 November 1930	13 May 1932	3 years, 314 days
17.	Sir John See	Progressive	28 March 1901	14 June 1904	3years, 78days
18.	Sir George Fuller	Nationalist	20 December 1921	20 December 1921	3 years, 65 days
18.	Sir George Fuller	Nationalist	13 April 1922	17 June 1925	3 years, 65 days
19.	Sir George Dibbs	Protectionist	7 October 1885	21 December 1885	3 years, 42 days
19.	Sir George Dibbs	Protectionist	17 January 1889	7 March 1889	3 years, 42 days
19.	Sir George Dibbs	Protectionist	23 October 1891	2 August 1894	3 years, 42 days
20.	Morris Iemma	Labor	3 August 2005	5 September 2008	3years, 33days
21.	Sir Joseph Carruthers	Liberal Reform	30 August 1904	2 October 1907	3years, 33days
22.	Sir Thomas Bavin	Nationalist	18 October 1927	3 November 1930	3years, 16days
23.	Sir Charles Wade	Commonwealth Liberal	2 October 1907	1 October 1910	2years, 364days
24.	John Fahey	Liberal	24 June 1992	4 April 1995	2years, 284days
25.	Sir Alexander Stuart	No Party Alignment	5 January 1883	6 October 1885	2years, 274days
26.	James McGowen	Labor	21 October 1910	29 June 1913	2years, 245days
27.	Barry O'Farrell	Liberal	28 March 2011	Incumbent	2years, 310days
28.	Alexander Mair	United Australia	5 August 1939	16 May 1941	1year, 284days
29.	Barrie Unsworth	Labor	4 July 1986	25 March 1988	1year, 265days
30.	Sir William Lyne	Protectionist	14 September 1899	27 March 1901	1year, 194days
31.	John Storey	Labor	13 April 1920	5 October 1921	1year, 175days
32.	Kristina Keneally	Labor	4 December 2009	28 March 2011	1year, 114days
33.	Nathan Rees	Labor	5 September 2008	4 December 2009	1year, 90days
34.	Thomas Lewis	Liberal	3 January 1975	23 January 1976	1year, 20days
35.	Jack Renshaw	Labor	30 April 1964	13 May 1965	1year, 13days
36.	James Farnell	No Party Alignment	18 December 1877	20 December 1878	1year, 2days
37.	Sir Henry Parker	No Party Alignment	3 October 1856	7 September 1857	339 days
38.	Sir Patrick Jennings	Protectionist	26 February 1886	19 January 1887	327 days
39.	James Dooley	Labor	5 October 1921	20 December 1921	190 days
39.	James Dooley	Labor	20 December 1921	13 April 1922	190 days
40.	William Forster	No Party Alignment	27 October 1859	8 March 1860	133 days
41.	Sir Eric Willis	Liberal	23 January 1976	14 May 1976	112 days
42.	Sir Stuart Donaldson	No Party Alignment	6 June 1856	25 August 1856	80 days
43.	Thomas Waddell	Progressive	15 June 1904	29 August 1904	75 days
