Round	Pick	Player	Position	School/Club Team
1	10	Eric Hill	Linebacker	Louisiana State
1	17	Joe Wolf	Offensive Guard	Boston College
2	40	Walter Reeves	Tight End	Auburn
3	67	Mike Zandofsky	Guard	Washington
4	94	Jim Wahler	Defensive Tackle	UCLA
5	123	Richard Tardits	Linebacker	Georgia
5	128	David Edeen	Defensive End	Wyoming
6	150	Jay Taylor	Defensive Back	San Jose State
7	177	Rickey Royal	Defensive Back	Sam Houston State
8	207	John Burch	Running Back	Tennessee-Martin
9	234	Kendall Trainor	Kicker	Arkansas
10	261	Chris Becker	Punter	Texas Christian
11	291	Jeffrey Hunter	Defensive End	Albany State
12	318	Todd Nelson	Guard	Wisconsin
1	2	Timm Rosenbach (Supplemental Draft)	Quarterback	Washington State
