Episode number (Production number)	Title	Original air date	Total viewers on FX	Total viewers on FX+	Total viewers	Rank on channel
25 (3.01)	Bad Blood	January 14, 2011	524,000	94,000	618,000	#1 (FX) #1 (FX+)
26 (3.02)	Beautifully Broken	January 21, 2011	518,000	77,000	595,000	#1 (FX) #1 (FX+)
27 (3.03)	It Hurts Me Too	January 28, 2011	440,000	80,000	520,000	#1 (FX) #2 (FX+)
28 (3.04)	9 Crimes	February 4, 2011	473, 000	102,000	575, 000	#1 (FX) #1 (FX+)
29 (3.05)	Trouble	February 11, 2011	483,000	107,000	590,000	#1 (FX) #1 (FX+)
30 (3.06)	I Got a Right to Sing the Blues	February 18, 2011	496,000	87,000	583,000	#1 (FX) #2 (FX+)
31 (3.07)	Hitting the Ground	February 25, 2011	494,000	80,000	574,000	#1 (FX) #2 (FX+)
32 (3.08)	Night on the Sun	March 4, 2011	TBA	TBA	TBA	TBA
33 (3.09)	Everything is Broken	March 11, 2011	TBA	TBA	TBA	TBA
34 (3.10)	I Smell a Rat	March 16, 2011	544,000	100,000	644,000	#1 (FX) #1 (FX+)
35 (3.11)	Fresh Blood	March 23, 2011	398,000	106,000	504,000	#2 (FX) #2 (FX+)
