Rank	Islands Name	Area (sqmi)	Area (km 2 )	Location	Population (2000)
1	Hawai ʻ i (Big Island)	4028	10433	Hawaii	148,677
2	Kodiak Island	3588	9293	Alaska	13,913
3	Puerto Rico	3515	9104	Puerto Rico	3,808,610
4	Prince of Wales Island	2577	6675	Alaska	6,000 ≈
5	Chichagof Island	2080	5388	Alaska	1,342
6	St. Lawrence Island	1983	5135	Alaska	1,292
7	Admiralty Island	1684	4362	Alaska	650
8	Nunivak Island	1625	4209	Alaska	210
9	Unimak Island	1590	4119	Alaska	64
10	Baranof Island	1570	4065	Alaska	8,532
11	Long Island	1401	3629	New York	7,448,618
12	Revillagigedo Island	1145	2965	Alaska	13,950
13	Kupreanof Island	1086	2813	Alaska	785
14	Unalaska Island	1051	2722	Alaska	1,759
15	Nelson Island	843	2183	Alaska	1,065
16	Kuiu Island	758	1962	Alaska	10
17	Maui	727	1883	Hawaii	117,644
18	Afognak	698	1809	Alaska	169
19	Umnak	692	1793	Alaska	39
20	O ʻ ahu	597	1545	Hawaii	876,151
21	Kaua ʻ i	552	1430	Hawaii	58,303
22	Atka Island	410	1061	Alaska	95
23	Attu Island	346	896	Alaska	20
24	Etolin Island	336	870	Alaska	15
25	Adak Island	280	725	Alaska	316
26	Montague Island	279	722	Alaska	0
27	Moloka ʻ i	260	673	Hawaii	7,404
