Day	Sunday Surya (the Sun)	Monday Soma (the Moon)	Tuesday Mangala (Mars)	Wednesday Budha (Mercury)	Thursday Guru (Jupiter)	Friday Shukra (Venus)	Saturday Shani (Saturn)
Tamil	ஞாயிற்று கிழமை Nyāyitru kizhamai	திங்கட் கிழமை Thingat kizhamai	செவ்வாய்க் கிழமை Sevvāi kizhamai	புதன் கிழமை Budhan kizhamai	வியாழக் கிழமை Vyāzha kizhamai	வெள்ளிக் கிழமை Velli kizhamai	சனிக் கிழமை Shani kizhamai
Sanskrit	भानुवासरम् Bhaan Vāsaram	इन्दुवासरम् Indu Vāsaram	भौमवासरम् Bhauma Vāsaram	सौम्यवासरम् Saumya Vāsaram	गुरूवासरम Bruhaspathi/Guru Vāsaram	भृगुवासरम् Bhrgu Vāsaram	स्थिरवासरम् Sthira Vāsaram
Hindi	रविवार Ravivār	सोमवार Somavār	मंगलवार Mangalavār	बुधवार Budhavār	गुरूवार Guruvār	शुक्रवार Shukravār	शनिवार Shanivār
Marathi	रविवार Ravivār	सोमवार Somavār	मंगळवार Mangaḷavār	बुधवार Budhavār	गुरूवार Guruvār	शुक्रवार Shukravār	शनिवार Shanivār
Bengali	রবিবার Robibar	সোমবার Shombar	মঙ্গলবার Monggolbar	বুধবার Budhbar	বৃহস্পতিবার Brihôshpotibar	শুক্রবার Shukrobar	শনিবার Shonibar
Urdu	Itwār اتوار	Pīr پیر [☽4 ] or Somwar سوموار	Mangal منگل	Budh Charshumba بدھ	Jumā-rāt جمعرات Raat = Eve	Jum'ah جمعہ [♀4 ]	Sanīchar سنیچر or ہفتہ Haftah [♄6 ]
Kashmiri	اَتھ وار Aath'var	ژندر وار Tsander'var	پم وار Bom'var	برھ وار Budh'var	برس وار Bres'var	جُمھ Jummah	بٹ وار Bat'var
Khmer	ថ្ងៃអាទិត្យ [tŋaj ʔaatɨt ]	ថ្ងៃចន្ទ [tŋaj can]	ថ្ងៃអង្គារ [tŋaj ʔɑŋkie]	ថ្ងៃពុធ [tŋaj put]	ថ្ងៃព្រហស្បត្ណិ [tŋaj prɔhoah]	ថ្ងៃសុក្រ [tŋaj sok]	ថ្ងៃសៅរ៍ [tŋaj saʋ]
Gujarati	રવિવાર Ravivār	સોમવાર Somvār	મંગળવાર Mangaḷvār	બુધવાર Budhvār	ગુરૂવાર Guruvār	શુક્રવાર Shukravār	શનિવાર Shanivār
Maldivian	އާދީއްތަ Aadheettha	ހޯމަ Homa	އަންގާރަ Angaara	ބުދަ Budha	ބުރާސްފަތި Buraasfathi	ހުކުރު Hukuru	ހޮނިހިރު Honihiru
Telugu	ఆదివారం Aadi Vāram	సోమవారం Soma Vāram	మంగళవారం Mangala Vāram	బుధవారం Budha Vāram	గురువారం Bestha/Guru/Lakshmi Vāram	శుక్రవారం Shukra Vāram	శనివారం Shani Vāram
Malayalam	ഞായര്‍ Nhāyar	തിങ്കള്‍ Tingal	ചൊവ്വ Covva	ബുധന്‍ Budhan	വ്യാഴം Vyāzham	വെള്ളി Velli	ശനി Sani
Kannada	ಭಾನುವಾರ Bhanu Vaara	ಸೋಮವಾರ Soma Vaara	ಮಂಗಳವಾರ Mangala Vaara	ಬುಧವಾರ Budha Vaara	ಗುರುವಾರ Guru Vaara	ಶುಕ್ರವಾರ Shukra Vaara	ಶನಿವಾರ Shani Vaara
Lao	ວັນອາທິດ [wán ʔàːtʰīt ]	ວັນຈັນ [wán càn]	ວັນອັງຄານ [wán ʔàŋkʰáːn]	ວັນພຸດ [wán pʰūt]	ວັນພະຫັດ [wán pʰāhát]	ວັນສຸກ [wán súk]	ວັນເສົາ [wán sǎu]
Sinhala	ඉරිදා Iridaa	සදුදා Sandudaa	අඟහරැවදා Anngaharuwadaa	බදාදා Badaadaa	බූරහස්පතින්දා Brahaspathindaa	සිකුරාදා Sikuradaa	සෙනසුරාදා Senasuraadaa
Shan	ဝၼ်းဢႃတိတ်ႉ IPA: [wan˦ ʔaː˩ tit˥ ]	ဝၼ်းၸၼ် IPA: [wan˦ tsan˩ ]	ဝၼ်းဢင်းၵၼ်း IPA: [wan˦ ʔaŋ˦ kan˦ ]	ဝၼ်းၽုတ်ႉ IPA: [wan˦ pʰut˥ ]	ဝၼ်းၽတ်း IPA: [wan˦ pʰat˦ ]	ဝၼ်းသုၵ်း IPA: [wan˦ sʰuk˦ ]	ဝၼ်းသဝ် IPA: [wan˦ sʰaw˩ ]
Thai	วันอาทิตย์ Wan Āthit	วันจันทร์ Wan Chan	วันอังคาร Wan Angkhān	วันพุธ Wan Phut	วันพฤหัสบดี Wan Phruehatsabodi	วันศุกร์ Wan Suk	วันเสาร์ Wan Sao
Mongolian	адъяа ad'yaa	сумъяа sum'yaa	ангараг angarag	буд bud	бархабадь barhabad'	сугар sugar	санчир sanchir
Javanese	Raditya	Soma	Anggara	Buda	Respati	Sukra	Tumpek
Balinese	Redite	Coma	Anggara	Buda	Wraspati	Sukra	Saniscara
